"disYear","disMonth","disDate","disDay","cityCode","citySidoName","citySggName","disQuantity","disQuantityRate","disCount","disCountRate"
"2018","01","01",2,"W01","서울특별시","종로구",2991900,3.93,1624,3.54
"2018","01","02",3,"W01","서울특별시","종로구",2933150,3.85,1710,3.73
"2018","01","03",4,"W01","서울특별시","종로구",2454150,3.22,1498,3.27
"2018","01","04",5,"W01","서울특별시","종로구",2514150,3.3,1506,3.29
"2018","01","05",6,"W01","서울특별시","종로구",2288100,3,1418,3.1
"2018","01","06",7,"W01","서울특별시","종로구",2242000,2.94,1379,3.01
"2018","01","07",1,"W01","서울특별시","종로구",2745450,3.6,1577,3.44
"2018","01","08",2,"W01","서울특별시","종로구",3028300,3.97,1706,3.72
"2018","01","09",3,"W01","서울특별시","종로구",2503400,3.29,1506,3.29
"2018","01","10",4,"W01","서울특별시","종로구",2208850,2.9,1468,3.2
"2018","01","11",5,"W01","서울특별시","종로구",2032550,2.67,1311,2.86
"2018","01","12",6,"W01","서울특별시","종로구",2266300,2.97,1383,3.02
"2018","01","13",7,"W01","서울특별시","종로구",2460300,3.23,1425,3.11
"2018","01","14",1,"W01","서울특별시","종로구",2716500,3.56,1569,3.42
"2018","01","15",2,"W01","서울특별시","종로구",2872100,3.77,1707,3.73
"2018","01","16",3,"W01","서울특별시","종로구",2540150,3.33,1521,3.32
"2018","01","17",4,"W01","서울특별시","종로구",2422050,3.18,1514,3.3
"2018","01","18",5,"W01","서울특별시","종로구",2357350,3.09,1476,3.22
"2018","01","19",6,"W01","서울특별시","종로구",2316900,3.04,1497,3.27
"2018","01","20",7,"W01","서울특별시","종로구",2198900,2.89,1351,2.95
"2018","01","21",1,"W01","서울특별시","종로구",2734050,3.59,1583,3.46
"2018","01","22",2,"W01","서울특별시","종로구",2761550,3.62,1623,3.54
"2018","01","23",3,"W01","서울특별시","종로구",2299600,3.02,1423,3.11
"2018","01","24",4,"W01","서울특별시","종로구",2183650,2.87,1304,2.85
"2018","01","25",5,"W01","서울특별시","종로구",2120700,2.78,1311,2.86
"2018","01","26",6,"W01","서울특별시","종로구",2033650,2.67,1261,2.75
"2018","01","27",7,"W01","서울특별시","종로구",2214500,2.91,1306,2.85
"2018","01","28",1,"W01","서울특별시","종로구",2637550,3.46,1500,3.27
"2018","01","29",2,"W01","서울특별시","종로구",2529150,3.32,1534,3.35
"2018","01","30",3,"W01","서울특별시","종로구",2285150,3,1384,3.02
"2018","01","31",4,"W01","서울특별시","종로구",2308750,3.03,1437,3.14
"2018","02","01",5,"W01","서울특별시","종로구",2232100,3.06,1392,3.26
"2018","02","02",6,"W01","서울특별시","종로구",2220250,3.05,1415,3.31
"2018","02","03",7,"W01","서울특별시","종로구",1989850,2.73,1208,2.83
"2018","02","04",1,"W01","서울특별시","종로구",2549800,3.5,1472,3.45
"2018","02","05",2,"W01","서울특별시","종로구",2679750,3.68,1567,3.67
"2018","02","06",3,"W01","서울특별시","종로구",2430850,3.34,1469,3.44
"2018","02","07",4,"W01","서울특별시","종로구",2344850,3.22,1419,3.32
"2018","02","08",5,"W01","서울특별시","종로구",2220450,3.05,1390,3.26
"2018","02","09",6,"W01","서울특별시","종로구",2180500,2.99,1427,3.34
"2018","02","10",7,"W01","서울특별시","종로구",2548750,3.5,1479,3.46
"2018","02","11",1,"W01","서울특별시","종로구",2660750,3.65,1515,3.55
"2018","02","12",2,"W01","서울특별시","종로구",2885150,3.96,1662,3.89
"2018","02","13",3,"W01","서울특별시","종로구",2958750,4.06,1665,3.9
"2018","02","14",4,"W01","서울특별시","종로구",3466500,4.76,2036,4.77
"2018","02","15",5,"W01","서울특별시","종로구",4143250,5.69,2209,5.17
"2018","02","16",6,"W01","서울특별시","종로구",2598050,3.57,1364,3.2
"2018","02","17",7,"W01","서울특별시","종로구",2435950,3.34,1293,3.03
"2018","02","18",1,"W01","서울특별시","종로구",2849250,3.91,1539,3.61
"2018","02","19",2,"W01","서울특별시","종로구",3101600,4.26,1731,4.05
"2018","02","20",3,"W01","서울특별시","종로구",2764950,3.79,1589,3.72
"2018","02","21",4,"W01","서울특별시","종로구",2370150,3.25,1459,3.42
"2018","02","22",5,"W01","서울특별시","종로구",2349750,3.22,1498,3.51
"2018","02","23",6,"W01","서울특별시","종로구",2275250,3.12,1424,3.34
"2018","02","24",7,"W01","서울특별시","종로구",2448350,3.36,1448,3.39
"2018","02","25",1,"W01","서울특별시","종로구",2694800,3.7,1561,3.66
"2018","02","26",2,"W01","서울특별시","종로구",2952800,4.05,1695,3.97
"2018","02","27",3,"W01","서울특별시","종로구",2509000,3.44,1517,3.55
"2018","02","28",4,"W01","서울특별시","종로구",2003450,2.75,1246,2.92
"2018","03","01",5,"W01","서울특별시","종로구",2789100,3.62,1668,3.41
"2018","03","02",6,"W01","서울특별시","종로구",2492150,3.23,1521,3.11
"2018","03","03",7,"W01","서울특별시","종로구",2452650,3.18,1496,3.06
"2018","03","04",1,"W01","서울특별시","종로구",2777850,3.6,1647,3.36
"2018","03","05",2,"W01","서울특별시","종로구",2896200,3.76,1686,3.44
"2018","03","06",3,"W01","서울특별시","종로구",2642950,3.43,1595,3.26
"2018","03","07",4,"W01","서울특별시","종로구",2491250,3.23,1595,3.26
"2018","03","08",5,"W01","서울특별시","종로구",2117400,2.75,1453,2.97
"2018","03","09",6,"W01","서울특별시","종로구",2274850,2.95,1510,3.08
"2018","03","10",7,"W01","서울특별시","종로구",2292250,2.97,1391,2.84
"2018","03","11",1,"W01","서울특별시","종로구",2706150,3.51,1702,3.48
"2018","03","12",2,"W01","서울특별시","종로구",2816000,3.65,1708,3.49
"2018","03","13",3,"W01","서울특별시","종로구",2672150,3.47,1652,3.37
"2018","03","14",4,"W01","서울특별시","종로구",2358450,3.06,1590,3.25
"2018","03","15",5,"W01","서울특별시","종로구",2057350,2.67,1370,2.8
"2018","03","16",6,"W01","서울특별시","종로구",2331100,3.02,1526,3.12
"2018","03","17",7,"W01","서울특별시","종로구",2304700,2.99,1458,2.98
"2018","03","18",1,"W01","서울특별시","종로구",2707700,3.51,1648,3.37
"2018","03","19",2,"W01","서울특별시","종로구",2743650,3.56,1704,3.48
"2018","03","20",3,"W01","서울특별시","종로구",2326250,3.02,1479,3.02
"2018","03","21",4,"W01","서울특별시","종로구",2195500,2.85,1436,2.93
"2018","03","22",5,"W01","서울특별시","종로구",2390250,3.1,1574,3.22
"2018","03","23",6,"W01","서울특별시","종로구",2188200,2.84,1508,3.08
"2018","03","24",7,"W01","서울특별시","종로구",2154950,2.8,1445,2.95
"2018","03","25",1,"W01","서울특별시","종로구",3004750,3.9,1755,3.58
"2018","03","26",2,"W01","서울특별시","종로구",2824900,3.66,1759,3.59
"2018","03","27",3,"W01","서울특별시","종로구",2667300,3.46,1705,3.48
"2018","03","28",4,"W01","서울특별시","종로구",2442350,3.17,1647,3.36
"2018","03","29",5,"W01","서울특별시","종로구",2383150,3.09,1622,3.31
"2018","03","30",6,"W01","서울특별시","종로구",2195050,2.85,1562,3.19
"2018","03","31",7,"W01","서울특별시","종로구",2394550,3.11,1546,3.16
"2018","04","01",1,"W01","서울특별시","종로구",2865250,3.87,1737,3.56
"2018","04","02",2,"W01","서울특별시","종로구",2936050,3.96,1838,3.77
"2018","04","03",3,"W01","서울특별시","종로구",2611200,3.52,1747,3.58
"2018","04","04",4,"W01","서울특별시","종로구",2428800,3.28,1656,3.4
"2018","04","05",5,"W01","서울특별시","종로구",1957500,2.64,1357,2.78
