"date","totaldisQuan_t"
2018-01-01,62.9271
2018-01-02,62.39835
2018-01-03,81.99565
2018-01-04,58.62735
2018-01-05,46.3048
2018-01-06,45.936
2018-01-07,98.9454
2018-01-08,75.283
2018-01-09,58.5306
2018-01-10,67.0885
2018-01-11,54.29295
2018-01-12,46.1304
2018-01-13,69.603
2018-01-14,145.7475
2018-01-15,86.5931
2018-01-16,58.86135
2018-01-17,81.64255
2018-01-18,68.5735
2018-01-19,56.8521
2018-01-20,55.7901
2018-01-21,129.2767
2018-01-22,72.6155
2018-01-23,46.3968
2018-01-24,66.8365
2018-01-25,44.9656
2018-01-26,44.2692
2018-01-27,67.145
2018-01-28,127.9257
2018-01-29,70.2915
2018-01-30,56.56635
2018-01-31,80.39625
2018-02-01,56.0889
2018-02-02,45.762
2018-02-03,53.90865
2018-02-04,111.1474
2018-02-05,71.7975
2018-02-06,47.4468
2018-02-07,80.79335
2018-02-08,67.2045
2018-02-09,55.6245
2018-02-10,70.4875
2018-02-11,144.91125
2018-02-12,100.6218
2018-02-13,87.54625
2018-02-14,194.9305
2018-02-15,186.292
2018-02-16,70.9805
2018-02-17,69.3595
2018-02-18,115.04025
2018-02-19,103.2192
2018-02-20,60.88455
2018-02-21,94.4418
2018-02-22,68.4975
2018-02-23,56.47725
2018-02-24,69.4835
2018-02-25,113.0324
2018-02-26,101.4336
2018-02-27,70.09
2018-02-28,65.0345
2018-03-01,114.2583
2018-03-02,69.9215
2018-03-03,81.97915
2018-03-04,129.8899
2018-03-05,86.8582
2018-03-06,71.4295
2018-03-07,82.40375
2018-03-08,55.0566
2018-03-09,56.47365
2018-03-10,67.9225
2018-03-11,163.2984
2018-03-12,85.976
2018-03-13,71.7215
2018-03-14,94.3014
2018-03-15,54.51615
2018-03-16,68.311
2018-03-17,68.047
2018-03-18,145.6155
2018-03-19,72.4365
2018-03-20,56.93625
2018-03-21,66.955
2018-03-22,68.9025
2018-03-23,55.6938
2018-03-24,66.5495
2018-03-25,150.07125
2018-03-26,86.0739
2018-03-27,60.0057
2018-03-28,95.3082
2018-03-29,68.8315
2018-03-30,55.75545
2018-03-31,68.9455
2018-04-01,147.97875
2018-04-02,101.2326
2018-04-03,71.112
2018-04-04,81.7168
2018-04-05,43.66
2018-04-06,55.99125
2018-04-07,66.265
2018-04-08,110.70995
2018-04-09,103.2216
2018-04-10,58.13415
2018-04-11,82.18375
2018-04-12,67.8135
2018-04-13,56.40075
2018-04-14,43.7856
2018-04-15,149.8545
2018-04-16,85.44525
2018-04-17,59.7411
2018-04-18,80.2956
2018-04-19,67.6925
2018-04-20,56.6694
2018-04-21,66.99
2018-04-22,111.14025
