"측정일자","권역코드","권역명","측정소코드","측정소명","미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)","초미세먼지(㎍/㎥)"
"20191231","100","도심권","111121","중구","26","18","0.023","0.012","0.4","0.002"
"20191231","100","도심권","111123","종로구","27","19","0.021","0.015","0.4","0.003"
"20191231","100","도심권","111131","용산구","14","15","0.02","0.015","0.4","0.003"
"20191231","101","서북권","111181","은평구","24","13","0.024","0.01","0.4","0.003"
"20191231","101","서북권","111191","서대문구","23","9","0.023","0.013","0.5","0.002"
"20191231","101","서북권","111201","마포구","22","12","0.019","0.017","0.4","0.002"
"20191231","102","동북권","111141","광진구","22","11","0.021","0.015","0.4","0.002"
"20191231","102","동북권","111142","성동구","25","17","0.022","0.019","0.3","0.003"
"20191231","102","동북권","111151","중랑구","24","12","0.02","0.017","0.4","0.003"
"20191231","102","동북권","111152","동대문구","25","13","0.022","0.015","0.4","0.003"
"20191231","102","동북권","111161","성북구","26","12","0.025","0.016","0.6","0.003"
"20191231","102","동북권","111171","도봉구","19","12","0.029","0.01","0.3","0.002"
"20191231","102","동북권","111291","강북구","32","17","0.023","0.021","0.3","0.002"
"20191231","102","동북권","111311","노원구","22","17","0.022","0.013","0.4","0.004"
"20191231","103","서남권","111212","강서구","29","16","0.024","0.015","0.4","0.004"
"20191231","103","서남권","111221","구로구","20","14","0.027","0.014","0.2","0.003"
"20191231","103","서남권","111231","영등포구","22","14","0.02","0.016","0.5","0.002"
"20191231","103","서남권","111241","동작구","28","19","0.017","0.017","0.3","0.003"
"20191231","103","서남권","111251","관악구","26","14","0.02","0.019","0.3","0.003"
"20191231","103","서남권","111281","금천구","23","18","0.021","0.017","0.4","0.003"
"20191231","103","서남권","111301","양천구","29","17","0.019","0.017","0.4","0.004"
"20191231","104","동남권","111261","강남구","22","15","0.021","0.018","0.4","0.003"
"20191231","104","동남권","111262","서초구","28","13","0.028","0.019","0.2","0.003"
"20191231","104","동남권","111273","송파구","25","17","0.016","0.022","0.4","0.003"
"20191231","104","동남권","111274","강동구","28","19","0.02","0.018","0.4","0.003"
"20191230","100","도심권","111121","중구","36","31","0.011","0.032","0.6","0.003"
"20191230","100","도심권","111123","종로구","40","29","0.009","0.035","0.7","0.003"
"20191230","100","도심권","111131","용산구","32","27","0.009","0.03","0.6","0.003"
"20191230","101","서북권","111181","은평구","36","23","0.014","0.024","0.6","0.003"
"20191230","101","서북권","111191","서대문구","35","18","0.015","0.027","0.7","0.002"
"20191230","101","서북권","111201","마포구","33","24","0.01","0.037","0.6","0.003"
"20191230","102","동북권","111141","광진구","37","22","0.012","0.026","0.8","0.003"
"20191230","102","동북권","111142","성동구","36","26","0.011","0.035","0.6","0.004"
