"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,583699,477055,337996,593703,533109,377204,457390,258099,584630,355282,376329,419460,398649,319938,453564,303777,475900,672371,490745,421871,250003,504165,165240,136063,422825
2015-02-01,583699,477055,337996,593703,533109,377204,457390,258099,584630,355282,376329,419460,398649,319938,453564,303777,475900,672371,490745,421871,250003,504165,165240,136063,422825
2015-03-01,583699,477055,337996,593703,533109,377204,457390,258099,584630,355282,376329,419460,398649,319938,453564,303777,475900,672371,490745,421871,250003,504165,165240,136063,422825
2015-04-01,581256,470572,336981,595148,531912,376620,457560,258462,582799,355256,375254,418520,400367,318206,451697,305969,473642,671984,490276,421351,249517,504055,164291,135200,422597
2015-05-01,581256,470572,336981,595148,531912,376620,457560,258462,582799,355256,375254,418520,400367,318206,451697,305969,473642,671984,490276,421351,249517,504055,164291,135200,422597
2015-06-01,581256,470572,336981,595148,531912,376620,457560,258462,582799,355256,375254,418520,400367,318206,451697,305969,473642,671984,490276,421351,249517,504055,164291,135200,422597
2015-07-01,582109,466838,335853,596319,531145,375951,456547,257954,581088,354454,374823,415598,400596,317983,452488,306384,472309,670489,489788,420449,248859,504345,164499,134828,420151
2015-08-01,582109,466838,335853,596319,531145,375951,456547,257954,581088,354454,374823,415598,400596,317983,452488,306384,472309,670489,489788,420449,248859,504345,164499,134828,420151
2015-09-01,582109,466838,335853,596319,531145,375951,456547,257954,581088,354454,374823,415598,400596,317983,452488,306384,472309,670489,489788,420449,248859,504345,164499,134828,420151
2015-10-01,581760,463321,334426,595691,529031,375180,454604,256167,578221,353241,373824,412774,398351,323105,451258,305065,469560,667480,489010,417811,247909,502578,163822,134329,418620
2015-11-01,581760,463321,334426,595691,529031,375180,454604,256167,578221,353241,373824,412774,398351,323105,451258,305065,469560,667480,489010,417811,247909,502578,163822,134329,418620
2015-12-01,581760,463321,334426,595691,529031,375180,454604,256167,578221,353241,373824,412774,398351,323105,451258,305065,469560,667480,489010,417811,247909,502578,163822,134329,418620
2016-01-01,578862,459750,333615,597473,530072,374798,454252,255274,577805,352521,373657,413282,397575,326746,450085,304565,468699,663904,487368,417209,247297,501242,163993,134436,418341
2016-02-01,578862,459750,333615,597473,530072,374798,454252,255274,577805,352521,373657,413282,397575,326746,450085,304565,468699,663904,487368,417209,247297,501242,163993,134436,418341
2016-03-01,578862,459750,333615,597473,530072,374798,454252,255274,577805,352521,373657,413282,397575,326746,450085,304565,468699,663904,487368,417209,247297,501242,163993,134436,418341
2016-04-01,576413,455444,332737,598190,529254,374053,453526,254662,576782,352164,372214,413969,395687,327113,450005,305525,467142,662605,486258,414901,246934,499850,163235,134175,418134
2016-05-01,576413,455444,332737,598190,529254,374053,453526,254662,576782,352164,372214,413969,395687,327113,450005,305525,467142,662605,486258,414901,246934,499850,163235,134175,418134
2016-06-01,576413,455444,332737,598190,529254,374053,453526,254662,576782,352164,372214,413969,395687,327113,450005,305525,467142,662605,486258,414901,246934,499850,163235,134175,418134
2016-07-01,574974,452299,332116,599611,528187,373680,451754,253667,574498,351253,371253,414261,393766,326359,450906,305506,464505,662413,485505,410757,246317,498514,162957,134463,416887
2016-08-01,574974,452299,332116,599611,528187,373680,451754,253667,574498,351253,371253,414261,393766,326359,450906,305506,464505,662413,485505,410757,246317,498514,162957,134463,416887
2016-09-01,574974,452299,332116,599611,528187,373680,451754,253667,574498,351253,371253,414261,393766,326359,450906,305506,464505,662413,485505,410757,246317,498514,162957,134463,416887
2016-10-01,572140,448471,330704,602104,525607,372104,449600,254654,571212,350272,370312,413247,390887,325871,451477,307161,461617,664946,481845,406779,245102,495937,161922,134409,415677
2016-11-01,572140,448471,330704,602104,525607,372104,449600,254654,571212,350272,370312,413247,390887,325871,451477,307161,461617,664946,481845,406779,245102,495937,161922,134409,415677
2016-12-01,572140,448471,330704,602104,525607,372104,449600,254654,571212,350272,370312,413247,390887,325871,451477,307161,461617,664946,481845,406779,245102,495937,161922,134409,415677
2017-01-01,570500,453233,330192,603772,525515,372164,447874,255082,569384,348646,369496,412520,389649,327163,450310,311244,461260,667483,479978,402985,244203,494388,162820,133240,414503
2017-02-01,570500,453233,330192,603772,525515,372164,447874,255082,569384,348646,369496,412520,389649,327163,450310,311244,461260,667483,479978,402985,244203,494388,162820,133240,414503
2017-03-01,570500,453233,330192,603772,525515,372164,447874,255082,569384,348646,369496,412520,389649,327163,450310,311244,461260,667483,479978,402985,244203,494388,162820,133240,414503
2017-04-01,568425,453060,330004,606823,523859,371728,445770,254711,566411,347941,368050,411217,388574,326412,447936,311831,459276,667898,478119,402967,243406,492835,163521,132838,414783
2017-05-01,568425,453060,330004,606823,523859,371728,445770,254711,566411,347941,368050,411217,388574,326412,447936,311831,459276,667898,478119,402967,243406,492835,163521,132838,414783
2017-06-01,568425,453060,330004,606823,523859,371728,445770,254711,566411,347941,368050,411217,388574,326412,447936,311831,459276,667898,478119,402967,243406,492835,163521,132838,414783
2017-07-01,565731,446760,329042,607877,522849,372414,443288,253646,562278,347338,367769,410703,387776,326479,447177,312933,458261,668366,476627,401908,243922,491899,164640,134174,414554
2017-08-01,565731,446760,329042,607877,522849,372414,443288,253646,562278,347338,367769,410703,387776,326479,447177,312933,458261,668366,476627,401908,243922,491899,164640,134174,414554
2017-09-01,565731,446760,329042,607877,522849,372414,443288,253646,562278,347338,367769,410703,387776,326479,447177,312933,458261,668366,476627,401908,243922,491899,164640,134174,414554
2017-10-01,561052,440359,328002,608255,520929,372298,441559,253491,558075,346234,366011,408493,385783,325028,445401,312711,455407,671173,475018,402024,244444,491202,164257,134593,412780
2017-11-01,561052,440359,328002,608255,520929,372298,441559,253491,558075,346234,366011,408493,385783,325028,445401,312711,455407,671173,475018,402024,244444,491202,164257,134593,412780
2017-12-01,561052,440359,328002,608255,520929,372298,441559,253491,558075,346234,366011,408493,385783,325028,445401,312711,455407,671173,475018,402024,244444,491202,164257,134593,412780
2018-01-01,557865,438225,327511,608361,522292,371671,440396,253344,555803,345041,364962,406715,385624,324871,445164,314551,453902,671994,473087,403988,245411,490253,164348,135139,411552
2018-02-01,557865,438225,327511,608361,522292,371671,440396,253344,555803,345041,364962,406715,385624,324871,445164,314551,453902,671994,473087,403988,245411,490253,164348,135139,411552
2018-03-01,557865,438225,327511,608361,522292,371671,440396,253344,555803,345041,364962,406715,385624,324871,445164,314551,453902,671994,473087,403988,245411,490253,164348,135139,411552
2018-04-01,551888,437050,326063,606981,521960,370519,440305,252752,553177,344096,364527,407275,385507,323261,443989,316068,451829,673161,471026,404501,245245,489045,163569,135427,410296
2018-05-01,551888,437050,326063,606981,521960,370519,440305,252752,553177,344096,364527,407275,385507,323261,443989,316068,451829,673161,471026,404501,245245,489045,163569,135427,410296
2018-06-01,551888,437050,326063,606981,521960,370519,440305,252752,553177,344096,364527,407275,385507,323261,443989,316068,451829,673161,471026,404501,245245,489045,163569,135427,410296
2018-07-01,549255,434992,324276,605068,521685,369999,439234,252359,551069,342990,366101,407925,385032,322497,441539,317197,449574,673582,469945,403724,245087,487849,163086,135258,409058
2018-08-01,549255,434992,324276,605068,521685,369999,439234,252359,551069,342990,366101,407925,385032,322497,441539,317197,449574,673582,469945,403724,245087,487849,163086,135258,409058
2018-09-01,549255,434992,324276,605068,521685,369999,439234,252359,551069,342990,366101,407925,385032,322497,441539,317197,449574,673582,469945,403724,245087,487849,163086,135258,409058
2018-10-01,547453,431920,322915,603611,520040,371063,438486,254021,548160,341649,364338,409385,386359,323080,438163,316463,447687,673507,468145,403600,245090,487666,163026,135633,408147
2018-11-01,547453,431920,322915,603611,520040,371063,438486,254021,548160,341649,364338,409385,386359,323080,438163,316463,447687,673507,468145,403600,245090,487666,163026,135633,408147
2018-12-01,547453,431920,322915,603611,520040,371063,438486,254021,548160,341649,364338,409385,386359,323080,438163,316463,447687,673507,468145,403600,245090,487666,163026,135633,408147
2019-01-01,546875,429601,321151,602886,520645,370658,438889,254244,545486,340089,363262,412031,386571,324604,437007,314608,450021,685361,466622,404556,245139,488713,162913,135836,407211
2019-02-01,546875,429601,321151,602886,520645,370658,438889,254244,545486,340089,363262,412031,386571,324604,437007,314608,450021,685361,466622,404556,245139,488713,162913,135836,407211
2019-03-01,546875,429601,321151,602886,520645,370658,438889,254244,545486,340089,363262,412031,386571,324604,437007,314608,450021,685361,466622,404556,245139,488713,162913,135836,407211
2019-04-01,547602,428547,319377,602230,519864,369470,439328,254061,542603,339001,363101,412000,385985,324304,435631,312991,452292,686181,465095,404229,245069,488285,162413,136276,405639
2019-05-01,547602,428547,319377,602230,519864,369470,439328,254061,542603,339001,363101,412000,385985,324304,435631,312991,452292,686181,465095,404229,245069,488285,162413,136276,405639
2019-06-01,547602,428547,319377,602230,519864,369470,439328,254061,542603,339001,363101,412000,385985,324304,435631,312991,452292,686181,465095,404229,245069,488285,162413,136276,405639
2019-07-01,549043,430522,317875,600240,519953,368337,439850,252868,539829,337594,363779,410487,385605,324089,435258,311290,454114,684338,463931,402478,244989,486159,162860,136663,403776
2019-08-01,549043,430522,317875,600240,519953,368337,439850,252868,539829,337594,363779,410487,385605,324089,435258,311290,454114,684338,463931,402478,244989,486159,162860,136663,403776
2019-09-01,549043,430522,317875,600240,519953,368337,439850,252868,539829,337594,363779,410487,385605,324089,435258,311290,454114,684338,463931,402478,244989,486159,162860,136663,403776
2019-10-01,550209,440390,317695,598273,517334,366972,439371,251820,537303,335631,363023,408912,385925,323171,435107,308979,454744,682741,462285,400986,245185,484546,161869,136488,402024
2019-11-01,550209,440390,317695,598273,517334,366972,439371,251820,537303,335631,363023,408912,385925,323171,435107,308979,454744,682741,462285,400986,245185,484546,161869,136488,402024
2019-12-01,550209,440390,317695,598273,517334,366972,439371,251820,537303,335631,363023,408912,385925,323171,435107,308979,454744,682741,462285,400986,245185,484546,161869,136488,402024
2020-01-01,549898,457042,316750,595703,516662,365990,438308,251370,535495,333495,362793,407802,386086,325875,434801,307193,454532,680883,460532,404766,246165,482509,161984,136469,400678
2020-02-01,549898,457042,316750,595703,516662,365990,438308,251370,535495,333495,362793,407802,386086,325875,434801,307193,454532,680883,460532,404766,246165,482509,161984,136469,400678
2020-03-01,549898,457042,316750,595703,516662,365990,438308,251370,535495,333495,362793,407802,386086,325875,434801,307193,454532,680883,460532,404766,246165,482509,161984,136469,400678
2020-04-01,546158,461547,315395,593203,516318,363925,436707,250554,533041,331744,360380,406776,384957,324224,433062,304851,452290,678067,462034,405154,245362,483938,160520,136030,399415
2020-05-01,546158,461547,315395,593203,516318,363925,436707,250554,533041,331744,360380,406776,384957,324224,433062,304851,452290,678067,462034,405154,245362,483938,160520,136030,399415
2020-06-01,546158,461547,315395,593203,516318,363925,436707,250554,533041,331744,360380,406776,384957,324224,433062,304851,452290,678067,462034,405154,245362,483938,160520,136030,399415
