"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,2.43,2.56,2.37,2.49,2.06,2.28,2.46,2.29,2.63,2.58,2.27,2.36,2.27,2.3,2.59,2.35,2.41,2.58,2.71,2.27,2.17,2.46,2.14,2.13,2.36
2015-02-01,2.43,2.56,2.37,2.49,2.06,2.28,2.46,2.29,2.63,2.58,2.27,2.36,2.27,2.3,2.59,2.35,2.41,2.58,2.71,2.27,2.17,2.46,2.14,2.13,2.36
2015-03-01,2.43,2.56,2.37,2.49,2.06,2.28,2.46,2.29,2.63,2.58,2.27,2.36,2.27,2.3,2.59,2.35,2.41,2.58,2.71,2.27,2.17,2.46,2.14,2.13,2.36
2015-04-01,2.43,2.55,2.36,2.48,2.06,2.28,2.46,2.28,2.63,2.57,2.26,2.36,2.27,2.3,2.59,2.35,2.41,2.58,2.71,2.27,2.17,2.46,2.14,2.13,2.36
2015-05-01,2.43,2.55,2.36,2.48,2.06,2.28,2.46,2.28,2.63,2.57,2.26,2.36,2.27,2.3,2.59,2.35,2.41,2.58,2.71,2.27,2.17,2.46,2.14,2.13,2.36
2015-06-01,2.43,2.55,2.36,2.48,2.06,2.28,2.46,2.28,2.63,2.57,2.26,2.36,2.27,2.3,2.59,2.35,2.41,2.58,2.71,2.27,2.17,2.46,2.14,2.13,2.36
2015-07-01,2.43,2.55,2.35,2.47,2.05,2.28,2.46,2.28,2.62,2.57,2.26,2.35,2.27,2.29,2.58,2.35,2.41,2.58,2.7,2.26,2.17,2.45,2.13,2.12,2.35
2015-08-01,2.43,2.55,2.35,2.47,2.05,2.28,2.46,2.28,2.62,2.57,2.26,2.35,2.27,2.29,2.58,2.35,2.41,2.58,2.7,2.26,2.17,2.45,2.13,2.12,2.35
2015-09-01,2.43,2.55,2.35,2.47,2.05,2.28,2.46,2.28,2.62,2.57,2.26,2.35,2.27,2.29,2.58,2.35,2.41,2.58,2.7,2.26,2.17,2.45,2.13,2.12,2.35
2015-10-01,2.43,2.54,2.35,2.47,2.05,2.28,2.45,2.28,2.61,2.57,2.25,2.35,2.26,2.3,2.58,2.34,2.4,2.57,2.7,2.25,2.17,2.45,2.13,2.12,2.35
2015-11-01,2.43,2.54,2.35,2.47,2.05,2.28,2.45,2.28,2.61,2.57,2.25,2.35,2.26,2.3,2.58,2.34,2.4,2.57,2.7,2.25,2.17,2.45,2.13,2.12,2.35
