"date","강동구","강서구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-12,0.4572,0.56655,0.120682,70.2425,11.04035,1.10795,109.5865,0.559,0.2114,54.481017,0.1449,NA,NA,2.67865,38.62975,17.23205,29.06015,0.33515,NA,0.0032,0.54425,0.73085
2015-01-13,0.38885,0.4916,0.060577,54.0475,9.50685,0.7991,106.3935,0.3588,0.18435,49.356658,0.2409,NA,NA,2.65625,30.95405,9.5759,25.69635,0.27925,NA,0.0029,0.4877,0.58165
2015-01-14,0.43615,0.4878,0.061332,47.283,9.5252,0.8327,61.384,0.386,0.1897,39.197855,0.28155,NA,NA,2.8176,30.28895,8.90275,24.69815,0.30665,NA,0.00085,0.5485,0.70995
2015-01-15,0.38885,0.48505,0.084173,43.515,9.62295,0.97035,61.4385,0.4502,0.1859,53.720289,0.39935,NA,NA,2.29445,35.42705,8.6938,25.0211,0.23385,NA,0.0031,0.53215,0.5893
2015-01-16,0.37575,0.42015,0.09249,47.9285,8.73715,0.8083,70.909,0.41125,0.1888,28.64357,0.3515,NA,NA,2.41055,29.40395,8.224,23.4488,0.2365,NA,0.0038,0.5227,0.5778
2015-01-17,0.47175,0.3667,0.074396,22.4785,9.2427,0.79095,63.538,0.3614,0.15265,16.033199,0.30495,NA,NA,2.27565,26.60845,9.37425,24.06265,0.26085,NA,0.0121,0.47555,0.6081
2015-01-18,0.52735,0.52465,0.052019,42.641,13.0304,1.0659,NA,0.5524,0.2331,29.411118,0.37755,NA,NA,2.8205,33.1107,0.80785,31.23415,0.33875,NA,0.0264,0.5645,0.7545
2015-01-19,0.5568,0.54655,0.065062,71.885,11.0945,1.04355,107.732,0.552,0.23325,47.302759,0.48445,NA,NA,2.84565,38.3552,15.01885,29.46845,0.2841,NA,0.0166,0.60955,0.6977
2015-01-20,0.42815,0.40765,0.076937,49.6885,9.31355,0.85915,102.061,0.42735,0.1776,49.229985,0.38035,NA,NA,2.6658,30.31745,8.04085,25.4166,0.29345,NA,0.0087,0.48925,0.65625
2015-01-21,0.4768,0.45465,0.051019,51.2425,9.36955,0.98265,59.1525,0.4214,0.21925,38.71448,0.46475,NA,NA,2.825,29.88845,8.60965,24.86905,0.27565,NA,0.00765,0.511,0.65785
2015-01-22,0.49635,0.4006,0.058247,43.031,9.4083,0.919,58.705,0.41145,0.20825,53.235091,0.5248,NA,NA,2.3112,34.48505,7.40625,25.1141,0.24095,NA,0.01335,0.53045,0.52445
2015-01-23,0.5103,0.42725,0.105244,43.5755,9.0834,0.8404,71.805,0.3575,0.197,32.277305,0.49345,NA,NA,2.39045,30.0433,10.8927,23.6032,0.22895,NA,0.0155,0.52885,0.52055
2015-01-24,0.47795,0.4258,0.080859,22.5285,9.9176,0.87925,70.2055,0.35565,0.2058,2.746235,0.7167,NA,NA,2.3924,28.27035,11.25155,25.16685,0.28955,NA,0.00855,0.5737,0.6552
2015-01-25,0.48985,0.5208,0.045155,37.65,12.4625,0.94025,NA,0.5601,0.22215,37.124689,0.7244,NA,NA,2.8676,31.416,0.8484,30.1462,0.2787,NA,0.02555,0.54155,0.7773
2015-01-26,0.5985,0.6422,0.059213,70.912,11.6849,1.126,108.926,0.5544,0.24955,40.72886,0.76805,NA,NA,3.01805,40.3293,16.4359,30.70985,0.2891,NA,0.02255,0.55605,0.8107
2015-01-27,0.50015,0.37155,0.064148,57.395,8.49,0.7708,103.0075,0.38475,0.15085,48.910214,0.56555,NA,NA,2.57485,29.25455,9.29625,24.2745,0.2764,NA,0.01195,0.61935,0.54965
2015-01-28,0.48945,0.466,0.050752,46.8695,8.97655,0.89065,60.4385,0.3769,0.1921,42.870169,0.6634,NA,NA,2.4878,28.4211,9.25815,23.44245,0.2919,NA,0.0167,0.5026,0.6455
2015-01-29,0.5703,0.433,0.079224,42.1385,9.11095,0.8999,60.5305,0.3803,0.19175,54.794029,0.6733,NA,NA,2.2376,33.3096,9.4792,23.91695,0.2185,NA,0.0178,0.52755,0.5769
2015-01-30,0.5627,0.3942,0.063622,43.0235,8.67885,0.8447,71.124,0.4084,0.1673,27.519499,0.58045,NA,NA,2.16035,27.95235,9.37525,21.75495,0.24305,NA,0.01385,0.64545,0.5864
2015-01-31,0.51675,0.4552,0.005934,26.952,9.34255,0.86475,65.477,0.39355,0.19645,8.721458,0.6944,NA,NA,2.2765,32.0703,11.0504,23.7119,0.28845,NA,0.02155,0.87895,0.6048
2015-01-01,0.16715,0.4888,0.049197,47.5855,10.57005,0.90995,NA,0.281,0.156,31.694737,NA,5e-05,NA,2.38475,30.2936,0.4098,26.157,0.28775,NA,NA,0.2955,0.60105
2015-01-02,0.235,0.42565,0.06589,46.8305,10.6317,0.90035,88.098,0.37445,0.18335,42.012204,NA,NA,NA,2.646,32.6996,18.2323,26.4692,0.2824,NA,NA,0.36265,0.66085
2015-01-03,0.27585,0.4881,0.10311,29.134,10.6061,0.89695,94.914,0.34615,0.14615,15.280625,NA,NA,NA,2.75875,29.73625,11.2827,27.3256,0.26945,NA,NA,0.371,0.702
2015-01-04,0.31075,0.6349,0.063431,50.2175,14.46875,1.07465,NA,0.4078,0.23315,43.25487,NA,NA,NA,3.2514,37.14015,0.7644,34.9962,0.33315,NA,NA,0.4347,0.81865
2015-01-05,0.308,0.55735,0.117432,79.1215,11.68405,1.1952,121.1235,0.4876,0.18865,44.100205,0.00205,NA,NA,3.0448,40.1053,19.51455,30.50605,0.26655,NA,NA,0.59185,0.74365
