"Month","gu","disq_t"
2015-02-01,"강남구",NA
2015-03-01,"강남구",NA
2015-04-01,"강남구",NA
2015-05-01,"강남구",NA
2015-06-01,"강남구",NA
2015-07-01,"강남구",NA
2015-08-01,"강남구",NA
2015-09-01,"강남구",NA
2015-10-01,"강남구",NA
2015-11-01,"강남구",NA
2015-12-01,"강남구",NA
2016-01-01,"강남구",NA
2016-02-01,"강남구",NA
2016-03-01,"강남구",NA
2016-04-01,"강남구",NA
2016-05-01,"강남구",NA
2016-06-01,"강남구",NA
2016-07-01,"강남구",NA
2016-08-01,"강남구",NA
2016-09-01,"강남구",NA
2016-10-01,"강남구",NA
2016-11-01,"강남구",NA
2016-12-01,"강남구",NA
2017-01-01,"강남구",NA
2017-02-01,"강남구",NA
2017-03-01,"강남구",NA
2017-05-01,"강남구",NA
2017-06-01,"강남구",NA
2017-07-01,"강남구",NA
2017-08-01,"강남구",NA
2017-09-01,"강남구",NA
2017-10-01,"강남구",NA
2017-11-01,"강남구",NA
2017-12-01,"강남구",NA
2018-01-01,"강남구",NA
2018-02-01,"강남구",NA
2018-03-01,"강남구",NA
2018-04-01,"강남구",NA
2018-05-01,"강남구",NA
2018-06-01,"강남구",NA
2018-07-01,"강남구",NA
2018-08-01,"강남구",NA
2018-09-01,"강남구",1.51945
2018-10-01,"강남구",8.55605
2018-11-01,"강남구",17.97745
2018-12-01,"강남구",25.937196
2019-01-01,"강남구",27.212499
2019-02-01,"강남구",27.115099
2019-03-01,"강남구",30.068247
2019-04-01,"강남구",31.763299
2019-05-01,"강남구",35.738348
2019-06-01,"강남구",39.358597
2019-07-01,"강남구",42.951798
2019-08-01,"강남구",40.545997
2019-09-01,"강남구",37.984448
2019-10-01,"강남구",35.751148
2019-11-01,"강남구",37.999647
2019-12-01,"강남구",41.077548
2020-01-01,"강남구",58.807697
2020-02-01,"강남구",65.305695
2020-03-01,"강남구",75.784047
2020-04-01,"강남구",74.168593
2020-05-01,"강남구",96.677596
2020-06-01,"강남구",154.861745
2020-07-01,"강남구",202.762487
2015-02-01,"강동구",42.8512
2015-03-01,"강동구",49.505
2015-04-01,"강동구",47.8419
2015-05-01,"강동구",53.9485
2015-06-01,"강동구",61.95155
2015-07-01,"강동구",65.17515
2015-08-01,"강동구",62.0714
2015-09-01,"강동구",58.7497
2015-10-01,"강동구",58.58505
2015-11-01,"강동구",65.502
2015-12-01,"강동구",61.55145
2016-01-01,"강동구",57.8484
2016-02-01,"강동구",58.61645
2016-03-01,"강동구",55.45535
2016-04-01,"강동구",53.8149
2016-05-01,"강동구",62.44705
2016-06-01,"강동구",67.9851
2016-07-01,"강동구",112.9653
2016-08-01,"강동구",192.2719
2016-09-01,"강동구",187.0644
2016-10-01,"강동구",183.38325
2016-11-01,"강동구",205.28838
2016-12-01,"강동구",201.5493
2017-01-01,"강동구",202.6657
2017-02-01,"강동구",172.32365
2017-03-01,"강동구",180.063
2017-05-01,"강동구",210.7588
2017-06-01,"강동구",216.29555
2017-07-01,"강동구",267.45475
2017-08-01,"강동구",286.109023
2017-09-01,"강동구",267.189703
2017-10-01,"강동구",300.209146
2017-11-01,"강동구",301.412554
2017-12-01,"강동구",310.7449
2018-01-01,"강동구",368.839155
2018-02-01,"강동구",364.724588
2018-03-01,"강동구",398.044483
2018-04-01,"강동구",379.877404
2018-05-01,"강동구",427.005625
2018-06-01,"강동구",477.299006
2018-07-01,"강동구",530.479284
2018-08-01,"강동구",450.552038
2018-09-01,"강동구",474.453695
2018-10-01,"강동구",486.05852
2018-11-01,"강동구",552.075609
2018-12-01,"강동구",540.708127
2019-01-01,"강동구",510.752794
2019-02-01,"강동구",492.615223
2019-03-01,"강동구",486.290119
2019-04-01,"강동구",474.94992
2019-05-01,"강동구",541.811935
2019-06-01,"강동구",591.461604
2019-07-01,"강동구",651.261383
2019-08-01,"강동구",610.364553
2019-09-01,"강동구",626.805286
2019-10-01,"강동구",580.96613
2019-11-01,"강동구",652.572251
2019-12-01,"강동구",644.94767
2020-01-01,"강동구",705.678894
2020-02-01,"강동구",658.061407
2020-03-01,"강동구",740.161806
2020-04-01,"강동구",696.65574
2020-05-01,"강동구",809.142162
2020-06-01,"강동구",869.508274
2020-07-01,"강동구",920.722728
2015-02-01,"강북구",NA
2015-03-01,"강북구",NA
2015-04-01,"강북구",NA
2015-05-01,"강북구",NA
2015-06-01,"강북구",NA
2015-07-01,"강북구",NA
2015-08-01,"강북구",NA
2015-09-01,"강북구",NA
