"date","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2017-01-01,4.08666606794556,7.2558,3.25762097239984,5.6697,1.60941176775667,4.12375,1.66665,12.6453,26.3342,10.8917,1.7591,12.6197,34.1569,15.6061,9.6348,6.59495,6.0172,52.9789,4.0679,32.30965,0.1915,2.41675,2.17,5.6205,16.9907
2017-01-02,6.10390150344582,7.06185,4.86562817232682,4.39005,2.40383988942162,4.84035,1.6444,11.06645,27.50785,95.19515,1.3393,12.9622,64.5107,14.86675,10.89315,6.6252,5.77915,59.51505,21.61765,30.25395,0.19305,1.6209,2.6082,5.37745,15.9786
2017-01-03,4.87388415162273,6.41105,3.88513936920595,3.9486,1.91943417394212,4.53445,1.46875,9.1374,24.55805,85.1856,1.13195,11.79775,31.15095,12.9926,9.9808,5.72365,5.1727,49.87125,12.1727,26.29425,0.2294,1.42035,2.3038,4.6198,13.9579
2017-01-04,4.71511777629077,6.67025,3.75858127383084,4.286,1.8569087636113,4.3656,1.449,8.89105,23.7403,51.59465,1.19885,12.1818,53.82585,13.5825,9.61455,5.80815,5.53715,49.1682,12.2091,26.7375,0.1916,1.438,2.3877,4.61845,14.01115
2017-01-05,4.1297087379558,6.3396,3.29193175341354,4.0414,1.62636284192774,4.33465,1.41485,8.96295,22.39035,45.94445,1.10595,10.9988,26.47535,12.6262,9.97295,5.6068,4.67475,51.4297,11.93215,25.33745,0.18335,1.4886,2.0604,4.5763,12.68665
2017-01-06,4.59537691552695,5.87965,3.66313174778881,3.83555,1.8097523903744,3.8414,1.20775,8.99305,22.60245,64.42515,1.0689,10.32665,45.5421,11.86555,9.29795,5.4317,4.6475,47.66835,13.34605,24.16665,0.1633,1.3991,2.1394,4.4896,13.20805
2017-01-07,5.567110483646,5.86055,4.43773373348052,3.7121,2.19244072694338,3.95805,1.3615,9.32945,23.4753,151.580504,1.30375,10.68715,18.96005,11.999,8.79615,5.6437,5.1658,45.87245,13.97005,25.7032,0.1738,1.6203,2.16315,5.1687,13.65155
2017-01-08,4.46228138170132,8.5531,3.55703675614662,6.09775,1.75733667673071,4.8516,1.6347,13.32615,29.5456,12.0807,1.7372,14.13805,39.78435,16.8128,10.4247,6.95605,6.5995,57.2016,4.3765,33.5994,0.2137,2.43645,2.4303,5.98515,17.911
2017-01-09,5.44280119519907,6.5891,4.33864255784346,4.24715,2.143485214469,4.84615,1.4927,10.5796,26.61975,74.76765,1.30305,12.6985,52.60235,13.4558,10.4049,6.44825,5.48605,55.854,21.31745,28.32965,0.18605,1.61695,2.66485,5.2019,15.1791
2017-01-10,4.38420328075749,5.1715,3.49479803761887,3.64415,1.72658794111741,4.02115,1.13845,7.89655,22.2198,80.6634,0.95755,10.87395,25.8789,11.7725,8.8275,5.10425,4.5419,44.1974,11.1541,23.37005,0.16725,1.21095,2.0404,4.04095,12.6123
2017-01-11,4.3758365882362,6.5566,3.48812866151282,4.1727,1.72329296835059,3.90535,1.4115,8.1822,21.81465,48.0295,1.01855,11.0378,52.6366,12.23325,8.98275,5.40865,5.11615,44.6061,11.6869,24.29485,0.1599,1.31975,1.8745,4.1176,12.3828
2017-01-12,3.97618376536277,6.0057,3.16955175901445,3.72585,1.56590160202518,4.1111,1.42395,8.25635,21.6664,45.2978,1.13935,10.4569,27.74665,12.063,9.46455,5.28525,4.39765,48.2784,11.25865,23.30885,0.1552,1.50975,2.11875,4.2793,12.4264
