"date","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2018-01-01,NA,11.832756,NA,6.1307,NA,6.2411,3.2837,12.15705,44.20315,22.5102,4.65795,16.4191,54.5528,17.8728,11.36895,12.79665,7.16695,62.14005,9.5628,31.46455,0.21545,5.32735,2.9919,5.96635,17.52235
2018-01-02,NA,11.14293,NA,5.30255,NA,6.10925,3.09945,10.96695,42.30075,110.54495,4.6647,16.59225,33.5882,16.43875,13.7316,12.1923,7.44525,57.7708,24.45795,29.31465,0.1953,4.3659,2.93315,5.03595,16.1936
2018-01-03,NA,12.779378,NA,5.70645,NA,5.0746,2.87995,9.2029,35.83325,79.08195,4.1881,14.55905,39.4731,15.29195,11.8716,11.2358,6.48205,50.41495,12.929,25.6672,0.197,3.742,2.45415,4.5844,14.1818
2018-01-04,NA,11.06566,NA,5.8396,NA,5.18645,2.6303,9.3359,34.5206,49.42515,3.69815,13.6969,29.4687,14.5843,12.4281,10.6879,5.5773,53.76865,11.9293,24.52685,0.1528,4.12515,2.51415,4.51445,13.00015
2018-01-05,NA,10.24541,NA,4.84755,NA,4.8543,2.4936,8.93785,34.15015,53.3893,3.83155,12.77005,40.0626,13.70265,11.39375,10.2247,5.7276,48.8095,13.1529,23.7985,0.1273,3.7652,2.2881,4.57205,12.9469
2018-01-06,NA,9.92601,NA,5.1469,NA,4.66915,2.8082,9.2902,35.15365,51.82215,3.694,13.7087,21.4076,13.7822,10.40685,10.2397,5.60605,47.52015,14.46115,25.5009,0.20495,4.10195,2.242,5.0222,13.75665
2018-01-07,NA,14.699178,NA,8.64425,NA,6.03305,3.5931,14.05215,44.509,22.4532,5.49635,17.9292,30.81745,20.38275,12.4784,14.3609,7.88175,59.794,5.79145,34.0851,0.2505,6.05615,2.74545,6.54215,18.5687
2018-01-08,NA,12.765809,NA,5.32085,NA,5.93195,3.343,10.83095,40.9367,85.2713,4.3239,15.7206,49.06205,15.73785,13.4247,12.4462,6.4867,59.16755,19.9785,28.60415,0.16325,4.5391,3.0283,5.59415,15.92705
2018-01-09,NA,10.580669,NA,4.6652,NA,5.02645,2.62735,8.8031,35.60505,69.7895,3.90905,13.6407,27.0032,13.95265,11.7264,10.05885,5.74535,47.56055,12.3096,24.1006,0.23535,3.72405,2.5034,4.3556,13.61545
2018-01-10,NA,12.112168,NA,5.04835,NA,4.7213,2.7728,8.2323,32.31825,48.1601,3.8232,13.6651,34.9229,13.93395,10.55345,10.05665,6.06715,44.99025,12.3744,22.8846,0.1325,3.53635,2.20885,4.06665,12.53725
2018-01-11,NA,10.242938,NA,5.18735,NA,4.41935,2.4843,8.06805,30.1913,39.8007,3.175,12.42705,25.32865,12.93635,10.75135,9.4803,4.9102,47.86125,11.5029,21.7819,0.1521,3.42535,2.03255,3.9481,11.60105
2018-01-12,NA,9.99782,NA,4.64535,NA,4.3433,2.36535,7.73465,30.99695,51.9933,3.27575,11.97045,35.5284,12.0522,10.37685,9.47895,5.16725,44.60725,11.5205,21.3905,0.1549,3.5166,2.2663,4.17975,11.7356
2018-01-13,NA,11.50216,NA,4.93905,NA,4.7118,2.9083,9.6661,36.52365,51.9395,3.96425,13.66935,21.30525,13.8863,10.91555,10.30445,5.73865,47.22075,13.9466,26.181,0.1638,4.12645,2.4603,5.01825,14.19015
2018-01-14,NA,16.883398,NA,8.6212,NA,5.8148,3.62605,14.2439,44.5047,22.4631,5.45185,17.89875,31.9584,19.7721,12.8555,14.0774,7.67135,59.88205,5.89785,33.9753,0.2133,6.30565,2.7165,6.18035,18.31325
2018-01-15,NA,13.32853,NA,5.44695,NA,6.0494,3.6529,10.65675,42.1089,88.826,4.35735,16.11565,43.1834,16.22325,13.461,12.39055,6.67115,60.7996,20.4853,29.53425,0.21425,4.82605,2.8721,5.4907,16.5076
2018-01-16,NA,10.68638,NA,4.70635,NA,5.0165,2.7546,9.15545,36.30855,68.95335,3.8861,14.13215,31.16365,14.04555,11.59415,10.08065,6.089,48.47075,13.18145,24.74475,0.20775,3.5128,2.54015,4.453,13.92735
2018-01-17,NA,13.168167,NA,5.52195,NA,5.18645,2.92545,9.52355,35.41005,48.65305,4.0099,15.0977,35.93105,15.22835,11.10725,10.92785,6.31335,48.42025,12.61435,25.61575,0.1838,3.6738,2.42205,4.42565,13.6443
2018-01-18,NA,11.411289,NA,5.7089,NA,4.9995,2.87845,9.2467,33.7952,45.92285,3.637,13.6927,25.42285,14.57255,11.77215,10.4407,5.55,52.5935,12.9476,23.9741,0.1171,3.65665,2.35735,4.43235,13.606
2018-01-19,NA,10.950989,NA,4.82535,NA,4.6731,2.6614,8.78575,34.2646,58.6001,3.81015,13.22725,36.92935,12.93595,11.4854,9.9777,5.7927,48.0977,13.1183,23.6398,0.16365,3.9224,2.3169,4.643,13.01955
2018-01-20,NA,10.958579,NA,4.929,NA,4.4861,2.7418,9.14525,35.06665,50.92815,3.61225,13.2063,19.0544,13.3024,10.1993,9.8625,5.24735,45.44305,14.3255,24.09785,0.15725,3.9036,2.1989,4.78025,13.48785
2018-01-21,NA,16.114279,NA,8.6012,NA,5.85115,3.7776,13.34455,43.36935,22.63525,5.5061,17.65045,28.39185,19.8484,12.7478,14.3062,7.5839,59.4954,5.7866,33.4212,0.2286,5.97935,2.73405,6.21945,18.2855
2018-01-22,NA,12.185909,NA,5.2861,NA,5.54395,3.25495,10.27465,38.5581,85.2593,3.9401,15.09855,47.29465,14.86685,12.52145,11.4588,6.3557,55.94595,21.0805,27.42575,0.17805,4.1712,2.76155,5.11575,14.9265
2018-01-23,NA,9.60219,NA,4.5279,NA,4.1944,2.6087,7.30305,30.94805,59.2499,3.3901,12.4884,22.5735,12.2174,10.35975,8.8357,5.1095,42.4587,11.3949,21.0345,0.1914,3.17735,2.2996,3.79025,11.5311
2018-01-24,NA,11.546969,NA,4.6863,NA,4.23345,2.3912,7.32025,29.27285,41.31955,3.4223,12.5273,33.25415,12.6764,9.4848,9.30875,5.35015,41.33405,9.7093,20.92785,0.10075,2.97965,2.18365,3.7975,11.27125
2018-01-25,NA,10.02893,NA,5.19445,NA,4.5454,2.4564,7.991,30.2303,37.86205,3.20395,12.28615,21.618,12.7131,10.6655,9.679,4.8995,46.5134,10.15915,21.46885,0.1422,3.41945,2.1207,3.926,11.61805
2018-01-26,NA,9.654018,NA,4.4498,NA,4.1567,2.32815,7.3192,29.0515,46.13205,3.1324,10.9727,36.22215,11.34935,9.6687,8.875,4.69505,42.4856,10.1451,19.8886,0.1079,3.43295,2.03365,3.97275,10.9971
2018-01-27,NA,11.356079,NA,5,NA,4.80825,2.78395,9.0313,34.1544,45.38715,3.7533,13.09175,21.0362,13.31105,10.42295,9.6527,5.5379,44.78665,12.9846,24.15205,0.2129,3.7851,2.2145,4.87735,13.13895
2018-01-28,NA,16.575795,NA,9.1172,NA,5.72065,3.5276,13.1816,43.10535,22.014,5.3135,17.09855,30.78405,19.5071,12.40965,13.90265,7.51195,57.9268,6.15845,32.4639,0.17195,5.7469,2.63755,6.1046,17.58395
2018-01-29,NA,12.20318,NA,5.2786,NA,5.4881,3.07905,9.5538,38.4722,79.6023,3.9262,14.78715,40.09585,14.3322,12.49025,11.1199,6.30915,54.32405,19.80435,26.1378,0.14225,4.2392,2.52915,4.92405,14.41635
2018-01-30,NA,10.304089,NA,4.62075,NA,4.3351,2.80075,8.3255,33.81195,67.9958,3.4232,13.34135,35.9885,12.86705,11.00705,9.3274,5.2405,45.6084,11.07485,22.6139,0.2082,3.4738,2.28515,4.16125,12.80485
2018-01-31,NA,12.987499,NA,5.4893,NA,4.89005,2.88725,8.8727,34.38275,50.3924,4.0639,15.1832,34.87345,14.47265,11.2659,10.3695,6.32385,47.167,14.12755,24.44945,0.1538,3.6361,2.30875,4.39435,13.38505
2018-02-01,NA,10.592368,NA,5.4206,NA,5.0956,2.61235,8.3677,32.62655,44.1718,3.4921,12.8252,26.4128,13.45835,11.04715,9.8831,5.21375,49.12485,12.5429,22.3798,0.14805,3.7865,2.2321,4.439,12.01975
2018-02-02,NA,10.135688,NA,4.87075,NA,4.7665,2.5814,8.35025,31.71825,62.8634,3.4951,12.25605,38.90595,12.358,10.53825,9.6983,5.23735,44.6005,12.5381,22.02395,0.15305,3.74615,2.22025,4.40666,12.19185
2018-02-03,NA,10.284458,NA,4.76435,NA,4.289,2.56485,8.40295,31.9313,52.43495,3.42195,12.2706,21.72935,12.44725,9.8144,9.1424,5.055,41.7414,14.0981,22.27245,0.12195,3.43665,1.98985,4.38185,12.19965
2018-02-04,NA,15.517126,NA,8.48055,NA,5.61925,3.336,12.6343,40.12875,20.83805,5.2637,16.14465,26.5277,18.04055,11.7055,13.4909,6.97355,54.3896,5.67995,30.3318,0.16325,5.337,2.5498,5.7638,16.0784
2018-02-05,NA,11.731339,NA,5.4235,NA,5.65265,3.142,9.59885,36.5394,77.3559,4.1877,14.57475,42.37625,14.22895,12.34715,11.60185,5.74815,53.65955,16.64135,25.48235,0.17035,4.17255,2.67975,5.1649,14.3605
2018-02-06,NA,10.174589,NA,4.56135,NA,4.75605,2.61525,8.0852,32.7664,55.61215,3.54035,12.7657,27.7048,12.6044,10.8219,9.4786,5.32845,43.53885,11.61735,21.9279,0.1973,3.24235,2.43085,3.89915,12.7915
2018-02-07,NA,12.776839,NA,5.41225,NA,5.17095,2.7709,8.22315,32.93615,44.97735,4.42905,14.31415,35.26445,14.2753,10.89315,10.18855,6.02085,46.31585,10.43645,24.00525,0.16165,3.73375,2.34485,4.18165,12.9775
2018-02-08,NA,11.61616,NA,5.83375,NA,5.1286,2.67845,8.9383,33.417625,50.87625,3.7028,13.5035,25.3373,14.2305,11.39835,9.5992,5.5842,50.9533,12.8521,23.55275,0.13105,3.8825,2.22045,4.38545,12.56495
2018-02-09,NA,10.434218,NA,4.7299,NA,4.6765,2.4208,8.89245,31.7667,65.7767,3.899,12.5374,33.0444,12.4244,10.8445,9.6082,5.45205,45.79485,14.30095,22.1209,0.1477,3.5524,2.1805,4.42735,12.5717
2018-02-10,NA,12.1302,NA,5.41965,NA,5.0072,2.8903,9.91155,36.8266,61.1906,4.2273,14.5319,28.14375,14.4551,11.10695,10.5802,6.04335,48.67995,16.7092,26.17435,0.16715,4.1382,2.54875,5.172,14.7366
2018-02-11,NA,16.738135,NA,9.5443,NA,6.0661,3.84695,14.3605,45.11965,23.03915,6.0092,18.38075,32.08895,19.97325,12.98135,14.47395,7.7271,59.17155,6.0855,34.4346,0.2535,5.9723,2.66075,6.4021,18.6713
2018-02-12,NA,14.112219,NA,5.8381,NA,6.3941,3.55035,10.7923,41.91405,80.88185,4.75015,16.7327,43.2832,16.1329,14.01155,12.6741,6.7461,60.94895,20.52505,29.5144,0.1626,4.63095,2.88515,5.7323,16.4893
2018-02-13,NA,12.978019,NA,5.6607,NA,5.9883,3.40225,11.0711,42.01245,67.42715,4.90695,17.39815,31.9524,16.3442,13.3985,12.26975,7.4396,56.1902,14.8077,29.38825,0.2539,4.2274,2.95875,5.03615,17.0033
2018-02-14,NA,19.765478,NA,8.5443,NA,7.9661,4.55755,15.93055,51.6317,69.1072,6.758,22.9377,40.77975,20.91155,16.97805,15.5475,8.9537,73.48205,17.28805,38.9172,0.20835,6.1654,3.4665,6.6511,21.5057
2018-02-15,NA,19.292159,NA,9.9634,NA,8.2482,5.07585,15.8284,60.19005,68.33985,7.07115,22.94145,47.8585,24.6211,17.6849,15.7671,10.4542,79.9469,13.23525,40.36945,0.2806,6.955,4.14325,8.14155,25.706
2018-02-16,NA,12.06824,NA,5.44105,NA,4.94565,3.32235,9.66985,39.0039,21.5113,4.5563,14.0158,16.39835,16.0775,9.14165,10.2892,6.7704,44.5118,4.5898,23.4264,0.1735,4.378,2.59805,5.06635,17.06165
2018-02-17,NA,11.739329,NA,5.434,NA,4.49505,3.2698,9.86615,37.7918,20.2324,5.10635,13.77335,40.0636,14.8032,9.2732,9.84965,6.5486,44.2923,5.1588,26.8135,0.17195,4.21585,2.43595,5.2292,15.3944
2018-02-18,NA,15.58325,NA,8.5286,NA,5.50365,3.6987,14.5286,43.2754,23.1477,6.05825,17.06855,31.83685,19.2073,11.0501,14.8806,8.2196,55.26585,15.97598,35.14955,0.23895,5.78625,2.84925,6.15565,19.3003
2018-02-19,NA,14.374888,NA,6.7331,NA,6.7805,3.5556,12.62715,42.02375,120.22575,5.108,17.90745,41.1865,16.05215,15.31,13.56605,7.00635,64.9076,16.2521,31.02455,0.2164,4.9001,3.1016,6.1489,17.4646
2018-02-20,NA,11.682478,NA,5.4949,NA,5.55035,3.0264,9.77425,36.665,83.38445,4.2917,14.7702,32.56655,14.32765,12.36265,10.401,6.3563,49.84745,13.6781,25.00615,0.20355,3.854,2.76495,4.38505,14.8604
2018-02-21,NA,13.393687,NA,6.1745,NA,5.2106,3.03805,9.31645,34.75865,48.34895,4.4407,15.23805,37.15658,14.1898,11.5709,10.67765,6.3452,48.2153,12.57675,25.25255,0.1744,3.79375,2.37015,4.43685,13.88065
2018-02-22,NA,11.76866,NA,6.46135,NA,5.2631,2.85865,9.64555,34.8184,44.33795,4.09125,13.78825,27.9082,14.39145,12.0909,10.75885,5.80505,53.4162,13.91305,24.9201,0.1842,3.94455,2.34975,4.5591,13.85445
