"Week","gu","disq_t"
2018-01-01,"강남구",38.230392089338
2018-01-08,"강남구",35.7509597918689
2018-01-15,"강남구",36.85566200155
2018-01-22,"강남구",33.5095419509482
2018-01-29,"강남구",35.0005702685278
2018-02-05,"강남구",35.9520005178679
2018-02-12,"강남구",42.0890891062533
2018-02-19,"강남구",38.0052542755114
2018-02-26,"강남구",38.4667900939665
2018-03-05,"강남구",37.3119408648958
2018-03-12,"강남구",36.9763597838337
2018-03-19,"강남구",36.1084834265379
2018-03-26,"강남구",37.5394600188619
2018-04-02,"강남구",35.4217837734959
2018-04-09,"강남구",36.1878772741648
2018-04-16,"강남구",36.0312184427959
2018-04-23,"강남구",36.2004137626031
2018-04-30,"강남구",36.0337257621052
2018-05-07,"강남구",38.6059333349418
2018-05-14,"강남구",38.2561568318421
2018-05-21,"강남구",40.3909316793767
2018-05-28,"강남구",40.861431555482
2018-06-04,"강남구",42.5017094105434
2018-06-11,"강남구",42.6862971402543
2018-06-18,"강남구",44.0879028735101
2018-06-25,"강남구",43.0264023063454
2018-07-02,"강남구",44.255149805333
2018-07-09,"강남구",43.9805613859514
2018-07-16,"강남구",46.4129468763193
2018-07-23,"강남구",45.1869762488728
2018-07-30,"강남구",42.7796048521564
2018-08-06,"강남구",40.9616486606015
2018-08-13,"강남구",39.9789682525143
2018-08-20,"강남구",38.0464750482105
2018-08-27,"강남구",36.9652661575055
2018-09-03,"강남구",36.8570509284944
2018-09-10,"강남구",37.7717481046999
2018-09-17,"강남구",45.3070593700424
2018-09-24,"강남구",41.5790888445284
2018-10-01,"강남구",39.1687490543954
2018-10-08,"강남구",37.5036920885279
2018-10-15,"강남구",36.3762254982647
2018-10-22,"강남구",37.318274902916
2018-10-29,"강남구",39.0017741176006
2018-11-05,"강남구",41.2829156147987
2018-11-12,"강남구",44.7037297487874
2018-11-19,"강남구",46.0840824455336
2018-11-26,"강남구",44.7535425172396
2018-12-03,"강남구",40.6519074820901
2018-12-10,"강남구",38.6275546143688
2018-12-17,"강남구",39.0805863779542
2018-12-24,"강남구",38.4329287961895
2018-12-31,"강남구",40.0858587632436
2019-01-07,"강남구",37.2321352618607
2019-01-14,"강남구",37.1610188429358
2019-01-21,"강남구",37.4080520545326
2019-01-28,"강남구",42.3739838874994
2019-02-04,"강남구",42.4912242588054
2019-02-11,"강남구",38.4096156263388
2019-02-18,"강남구",38.3697994557693
2019-02-25,"강남구",39.2698729394478
2019-03-04,"강남구",37.4305350813486
2019-03-11,"강남구",35.8128397917949
2019-03-18,"강남구",35.6877390769846
2019-03-25,"강남구",36.3151054529525
2019-04-01,"강남구",36.4098192516761
2019-04-08,"강남구",36.2360487980589
2019-04-15,"강남구",37.429180385638
2019-04-22,"강남구",37.2778581222237
2019-04-29,"강남구",38.319731572669
2019-05-06,"강남구",39.9221083063503
2019-05-13,"강남구",40.2877046713367
2019-05-20,"강남구",42.7222357382412
2019-05-27,"강남구",42.0819462197638
2019-06-03,"강남구",44.6496531433529
2019-06-10,"강남구",44.3119250073239
2019-06-17,"강남구",44.5413196193706
2019-06-24,"강남구",46.3721906703948
2019-07-01,"강남구",47.7896493239659
2019-07-08,"강남구",47.5612337702615
2019-07-15,"강남구",48.0348051710445
2019-07-22,"강남구",48.4160065445519
2019-07-29,"강남구",47.4516566988012
2019-08-05,"강남구",48.5769040771975
2019-08-12,"강남구",46.8454335604208
2019-08-19,"강남구",43.2236507431311
2019-08-26,"강남구",38.3687439063915
2019-09-02,"강남구",44.265976262175
2019-09-09,"강남구",50.9624014897743
2019-09-16,"강남구",43.4282057884727
2019-09-23,"강남구",42.6968321921869
2019-09-30,"강남구",42.8304705535026
2019-10-07,"강남구",40.9823603727263
2019-10-14,"강남구",39.997132765312
2019-10-21,"강남구",39.9004917094616
2019-10-28,"강남구",41.7888016373352
2019-11-04,"강남구",42.2003059602257
2019-11-11,"강남구",45.9248924750821
2019-11-18,"강남구",48.9524252886048
2019-11-25,"강남구",47.0396485756892
2019-12-02,"강남구",43.6968950834368
2019-12-09,"강남구",42.6121574979946
2019-12-16,"강남구",40.6702373865678
2019-12-23,"강남구",41.8266899078705
2019-12-30,"강남구",42.8504778334268
2020-01-06,"강남구",40.916738988458
2020-01-13,"강남구",41.329096270122
2020-01-20,"강남구",48.1015551120649
2020-01-27,"강남구",47.7995335177038
2020-02-03,"강남구",43.315815712832
2020-02-10,"강남구",42.738732818231
