"Month","gu","google"
2018-01-01,"종로구",66.5
2018-01-01,"중구",66.5
2018-01-01,"용산구",66.5
2018-01-01,"성동구",66.5
2018-01-01,"광진구",66.5
2018-01-01,"동대문구",66.5
2018-01-01,"중랑구",66.5
2018-01-01,"성북구",66.5
2018-01-01,"강북구",66.5
2018-01-01,"도봉구",66.5
2018-01-01,"노원구",66.5
2018-01-01,"은평구",66.5
2018-01-01,"서대문구",66.5
2018-01-01,"마포구",66.5
2018-01-01,"양천구",66.5
2018-01-01,"강서구",66.5
2018-01-01,"구로구",66.5
2018-01-01,"금천구",66.5
2018-01-01,"영등포구",66.5
2018-01-01,"동작구",66.5
2018-01-01,"관악구",66.5
2018-01-01,"서초구",66.5
2018-01-01,"강남구",66.5
2018-01-01,"강동구",66.5
2018-01-01,"송파구",66.5
2018-02-01,"종로구",62.75
2018-02-01,"중구",62.75
2018-02-01,"용산구",62.75
2018-02-01,"성동구",62.75
2018-02-01,"광진구",62.75
2018-02-01,"동대문구",62.75
2018-02-01,"중랑구",62.75
2018-02-01,"성북구",62.75
2018-02-01,"강북구",62.75
2018-02-01,"도봉구",62.75
2018-02-01,"노원구",62.75
2018-02-01,"은평구",62.75
2018-02-01,"서대문구",62.75
2018-02-01,"마포구",62.75
2018-02-01,"양천구",62.75
2018-02-01,"강서구",62.75
2018-02-01,"구로구",62.75
2018-02-01,"금천구",62.75
2018-02-01,"영등포구",62.75
2018-02-01,"동작구",62.75
2018-02-01,"관악구",62.75
2018-02-01,"서초구",62.75
2018-02-01,"강남구",62.75
2018-02-01,"강동구",62.75
2018-02-01,"송파구",62.75
2018-03-01,"종로구",64
2018-03-01,"중구",64
2018-03-01,"용산구",64
2018-03-01,"성동구",64
2018-03-01,"광진구",64
2018-03-01,"동대문구",64
2018-03-01,"중랑구",64
2018-03-01,"성북구",64
2018-03-01,"강북구",64
2018-03-01,"도봉구",64
2018-03-01,"노원구",64
2018-03-01,"은평구",64
2018-03-01,"서대문구",64
2018-03-01,"마포구",64
2018-03-01,"양천구",64
2018-03-01,"강서구",64
2018-03-01,"구로구",64
2018-03-01,"금천구",64
2018-03-01,"영등포구",64
2018-03-01,"동작구",64
2018-03-01,"관악구",64
2018-03-01,"서초구",64
2018-03-01,"강남구",64
2018-03-01,"강동구",64
2018-03-01,"송파구",64
2018-04-01,"종로구",65.6
2018-04-01,"중구",65.6
2018-04-01,"용산구",65.6
2018-04-01,"성동구",65.6
2018-04-01,"광진구",65.6
2018-04-01,"동대문구",65.6
2018-04-01,"중랑구",65.6
2018-04-01,"성북구",65.6
2018-04-01,"강북구",65.6
2018-04-01,"도봉구",65.6
2018-04-01,"노원구",65.6
2018-04-01,"은평구",65.6
2018-04-01,"서대문구",65.6
2018-04-01,"마포구",65.6
2018-04-01,"양천구",65.6
2018-04-01,"강서구",65.6
2018-04-01,"구로구",65.6
2018-04-01,"금천구",65.6
2018-04-01,"영등포구",65.6
2018-04-01,"동작구",65.6
2018-04-01,"관악구",65.6
2018-04-01,"서초구",65.6
2018-04-01,"강남구",65.6
2018-04-01,"강동구",65.6
2018-04-01,"송파구",65.6
2018-05-01,"종로구",65.5
2018-05-01,"중구",65.5
2018-05-01,"용산구",65.5
2018-05-01,"성동구",65.5
2018-05-01,"광진구",65.5
2018-05-01,"동대문구",65.5
2018-05-01,"중랑구",65.5
2018-05-01,"성북구",65.5
2018-05-01,"강북구",65.5
2018-05-01,"도봉구",65.5
2018-05-01,"노원구",65.5
2018-05-01,"은평구",65.5
2018-05-01,"서대문구",65.5
2018-05-01,"마포구",65.5
2018-05-01,"양천구",65.5
2018-05-01,"강서구",65.5
2018-05-01,"구로구",65.5
2018-05-01,"금천구",65.5
2018-05-01,"영등포구",65.5
2018-05-01,"동작구",65.5
2018-05-01,"관악구",65.5
2018-05-01,"서초구",65.5
2018-05-01,"강남구",65.5
2018-05-01,"강동구",65.5
2018-05-01,"송파구",65.5
2018-06-01,"종로구",61.75
2018-06-01,"중구",61.75
2018-06-01,"용산구",61.75
2018-06-01,"성동구",61.75
2018-06-01,"광진구",61.75
