"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,8,7,6,7,6,7,6,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-02-01,8,7,6,7,6,7,6,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-03-01,8,7,6,7,6,7,6,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-04-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-05-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-06-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-07-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-08-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-09-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-10-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-11-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2015-12-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2016-01-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2016-02-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2016-03-01,8,7,6,7,6,7,7,6,7,6,6,7,7,7,8,7,7,8,7,7,8,6,7,7,6
2016-04-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-05-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-06-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-07-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-08-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-09-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-10-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-11-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2016-12-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2017-01-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2017-02-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2017-03-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,7,7,8,8,7,8,6,7,7,6
2017-04-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-05-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-06-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-07-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-08-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-09-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-10-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-11-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2017-12-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2018-01-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2018-02-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2018-03-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,8,8,7,8,7,6
2018-04-01,9,7,6,7,6,7,7,6,7,6,7,7,8,7,9,8,7,8,8,7,8,7,8,7,6
