"Qtr","gu","nBusiness"
2015-01-01,"강남구",13536
2015-02-01,"강남구",13536
2015-03-01,"강남구",13536
2015-04-01,"강남구",13545
2015-05-01,"강남구",13545
2015-06-01,"강남구",13545
2015-07-01,"강남구",13393
2015-08-01,"강남구",13393
2015-09-01,"강남구",13393
2015-10-01,"강남구",13436
2015-11-01,"강남구",13436
2015-12-01,"강남구",13436
2016-01-01,"강남구",13283
2016-02-01,"강남구",13283
2016-03-01,"강남구",13283
2016-04-01,"강남구",13278
2016-05-01,"강남구",13278
2016-06-01,"강남구",13278
2016-07-01,"강남구",13204
2016-08-01,"강남구",13204
2016-09-01,"강남구",13204
2016-10-01,"강남구",13187
2016-11-01,"강남구",13187
2016-12-01,"강남구",13187
2017-01-01,"강남구",13056
2017-02-01,"강남구",13056
2017-03-01,"강남구",13056
2017-04-01,"강남구",13062
2017-05-01,"강남구",13062
2017-06-01,"강남구",13062
2017-07-01,"강남구",13048
2017-08-01,"강남구",13048
2017-09-01,"강남구",13048
2017-10-01,"강남구",12990
2017-11-01,"강남구",12990
2017-12-01,"강남구",12990
2018-01-01,"강남구",12799
2018-02-01,"강남구",12799
2018-03-01,"강남구",12799
2018-04-01,"강남구",12849
2018-05-01,"강남구",12849
2018-06-01,"강남구",12849
2018-07-01,"강남구",12777
2018-08-01,"강남구",12777
2018-09-01,"강남구",12777
2018-10-01,"강남구",12826
2018-11-01,"강남구",12826
2018-12-01,"강남구",12826
2019-01-01,"강남구",12796
2019-02-01,"강남구",12796
2019-03-01,"강남구",12796
2019-04-01,"강남구",12883
2019-05-01,"강남구",12883
2019-06-01,"강남구",12883
2019-07-01,"강남구",13012
2019-08-01,"강남구",13012
2019-09-01,"강남구",13012
2019-10-01,"강남구",14895
2019-11-01,"강남구",14895
2019-12-01,"강남구",14895
2020-01-01,"강남구",13293
2020-02-01,"강남구",13293
2020-03-01,"강남구",13293
2020-04-01,"강남구",13448
2020-05-01,"강남구",13448
2020-06-01,"강남구",13448
2015-01-01,"강동구",5630
2015-02-01,"강동구",5630
2015-03-01,"강동구",5630
2015-04-01,"강동구",5599
2015-05-01,"강동구",5599
2015-06-01,"강동구",5599
2015-07-01,"강동구",5564
2015-08-01,"강동구",5564
2015-09-01,"강동구",5564
2015-10-01,"강동구",5552
2015-11-01,"강동구",5552
2015-12-01,"강동구",5552
2016-01-01,"강동구",5507
2016-02-01,"강동구",5507
2016-03-01,"강동구",5507
2016-04-01,"강동구",5524
2016-05-01,"강동구",5524
2016-06-01,"강동구",5524
2016-07-01,"강동구",5513
2016-08-01,"강동구",5513
2016-09-01,"강동구",5513
2016-10-01,"강동구",5481
2016-11-01,"강동구",5481
2016-12-01,"강동구",5481
2017-01-01,"강동구",5468
2017-02-01,"강동구",5468
2017-03-01,"강동구",5468
