"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,13536,5630,4156,5679,5885,5198,5300,3735,4771,3175,5355,4344,8318,4657,8355,3744,5001,7757,4391,7861,4671,4622,7108,6771,4584
2015-02-01,13536,5630,4156,5679,5885,5198,5300,3735,4771,3175,5355,4344,8318,4657,8355,3744,5001,7757,4391,7861,4671,4622,7108,6771,4584
2015-03-01,13536,5630,4156,5679,5885,5198,5300,3735,4771,3175,5355,4344,8318,4657,8355,3744,5001,7757,4391,7861,4671,4622,7108,6771,4584
2015-04-01,13545,5599,4133,5721,5905,5209,5300,3733,4774,3159,5371,4351,8408,4679,8355,3753,5001,7750,4390,7846,4714,4613,7158,6746,4574
2015-05-01,13545,5599,4133,5721,5905,5209,5300,3733,4774,3159,5371,4351,8408,4679,8355,3753,5001,7750,4390,7846,4714,4613,7158,6746,4574
2015-06-01,13545,5599,4133,5721,5905,5209,5300,3733,4774,3159,5371,4351,8408,4679,8355,3753,5001,7750,4390,7846,4714,4613,7158,6746,4574
2015-07-01,13393,5564,4111,5703,5862,5202,5286,3692,4759,3136,5325,4326,8435,4667,8314,3752,4974,7709,4360,7817,4783,4601,7125,6702,4545
2015-08-01,13393,5564,4111,5703,5862,5202,5286,3692,4759,3136,5325,4326,8435,4667,8314,3752,4974,7709,4360,7817,4783,4601,7125,6702,4545
2015-09-01,13393,5564,4111,5703,5862,5202,5286,3692,4759,3136,5325,4326,8435,4667,8314,3752,4974,7709,4360,7817,4783,4601,7125,6702,4545
2015-10-01,13436,5552,4095,5731,5876,5200,5274,3696,4785,3156,5317,4314,8526,4690,8297,3775,4988,7714,4339,7789,4851,4602,7130,6717,4530
2015-11-01,13436,5552,4095,5731,5876,5200,5274,3696,4785,3156,5317,4314,8526,4690,8297,3775,4988,7714,4339,7789,4851,4602,7130,6717,4530
2015-12-01,13436,5552,4095,5731,5876,5200,5274,3696,4785,3156,5317,4314,8526,4690,8297,3775,4988,7714,4339,7789,4851,4602,7130,6717,4530
2016-01-01,13283,5507,4077,5727,5851,5232,5252,3670,4777,3129,5314,4306,8542,4664,8235,3757,4958,7667,4310,7735,4882,4582,7108,6693,4537
2016-02-01,13283,5507,4077,5727,5851,5232,5252,3670,4777,3129,5314,4306,8542,4664,8235,3757,4958,7667,4310,7735,4882,4582,7108,6693,4537
2016-03-01,13283,5507,4077,5727,5851,5232,5252,3670,4777,3129,5314,4306,8542,4664,8235,3757,4958,7667,4310,7735,4882,4582,7108,6693,4537
2016-04-01,13278,5524,4097,5771,5856,5253,5294,3686,4793,3151,5331,4340,8661,4688,8247,3806,4946,7722,4303,7811,4907,4588,7123,6713,4553
2016-05-01,13278,5524,4097,5771,5856,5253,5294,3686,4793,3151,5331,4340,8661,4688,8247,3806,4946,7722,4303,7811,4907,4588,7123,6713,4553
2016-06-01,13278,5524,4097,5771,5856,5253,5294,3686,4793,3151,5331,4340,8661,4688,8247,3806,4946,7722,4303,7811,4907,4588,7123,6713,4553
2016-07-01,13204,5513,4089,5755,5805,5216,5294,3649,4735,3124,5286,4328,8724,4649,8141,3807,4920,7715,4266,7758,4909,4574,7088,6683,4508
2016-08-01,13204,5513,4089,5755,5805,5216,5294,3649,4735,3124,5286,4328,8724,4649,8141,3807,4920,7715,4266,7758,4909,4574,7088,6683,4508
2016-09-01,13204,5513,4089,5755,5805,5216,5294,3649,4735,3124,5286,4328,8724,4649,8141,3807,4920,7715,4266,7758,4909,4574,7088,6683,4508
