"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,694,272,229,313,301,250,286,186,236,169,269,171,401,215,382,161,233,399,228,421,180,252,307,290,245
2015-02-01,655.780467203247,314.903452589964,277.30958793617,326.470927753351,311.939312000249,252.50337024787,263.846838344385,195.981140984166,225.399452990705,207.304582764307,257.466058496823,192.343808449647,435.600980806822,210.072011114314,382.178523692654,158.966647233937,259.314267096762,414.455293888128,245.258775483808,412.105986999947,190.687680518201,284.883562228772,266.711642424036,254.736417985324,272.262955723383
2015-03-01,666.619973376087,338.656539009717,293.72934102259,333.446236395327,324.754126815064,260.984851729352,256.45177661599,203.968795305153,227.350070274656,223.650261776653,260.700626398058,205.504302276808,459.3787585846,212.454727163696,390.869881717345,166.707387974678,275.462415244911,422.023195122696,253.234084125783,408.204752432046,201.243236073757,300.648994327538,257.007938720333,241.884566133472,284.867893994988
2015-04-01,712,347,286,335,338,273,260,210,238,223,274,212,474,220,405,181,283,423,254,408,211,303,270,246,286
2015-05-01,774.839139023395,343.601241568168,262.702127102268,332.433227406966,350.088800987239,285.852407611574,270.670907286107,214.084929635444,252.622310859113,210.661086339323,291.947515674019,213.583364518077,481.331698655297,230.221545262152,421.002872034877,198.142007696525,283.278690641199,418.817308540363,249.971999708057,409.987964053586,219.187199136331,295.914227561099,296.604052750063,260.9454761973,279.310711654444
2015-06-01,827.804424262382,331.834330788028,235.775570535768,327.9546665179,358.857654715468,295.837815100648,284.620751682032,216.126308897029,262.989753721276,193.318113467645,306.274670091775,212.942636251234,484.042155895193,239.280533737384,433.344761589568,212.509921886246,276.834611342122,411.447935660212,244.93116996165,411.835001526873,224.617634346419,284.465103770724,322.956784961199,277.812555565109,270.316477797703
2015-07-01,841,315,218,324,362,299,298,216,260,178,308,213,485,243,436,218,264,403,243,411,226,274,334,287,265
2015-08-01,797.344458184656,296.765655211439,217.955977728831,321.870236692859,357.927706273016,292.642554861388,306.988051029704,213.716177511095,238.926118387658,170.014034841362,291.706841770063,215.507918663229,486.072224571991,238.893659688929,425.402580760431,210.909766424408,246.126525893999,394.905101580049,246.593966424705,405.979193822745,222.563522936474,268.496564563867,320.64992435349,282.370566114365,267.01271617736
2015-09-01,731.014181426237,282.265397097433,227.427636093596,318.327690125665,347.926365434173,279.108332312499,307.880031470698,209.822265403026,212.54276669209,167.780988056469,266.23773027188,217.53996753307,485.119284501294,231.237952701584,407.825145998455,197.141813369228,228.643583831044,385.888765940159,251.300495286875,399.418204423426,215.6195598739,266.453553552528,297.720476990427,271.642989383869,270.681009629015
2015-10-01,689,277,234,309,334,262,297,205,198,168,244,215,479,226,392,185,218,374,251,395,207,265,286,266,268
2015-11-01,703.264509719464,284.15095240089,228.733221241668,292.122862858634,318.867040587364,245.318113683613,273.673184891372,199.976286246102,206.821363738401,168.023515035969,234.262154282764,205.644220088268,466.12014379748,227.277890056206,384.386804923399,180.589296976213,218.696687264287,359.191914769072,241.985467926457,395.058223618398,198.706857265921,262.062477146396,299.388842428569,272.683370456353,253.934719932413
2015-12-01,745.65736855119,297.62259934076,216.587959163921,276.364202609071,308.103550214504,234.65478157528,249.229492805547,195.65870356494,228.024364695547,167.817193565736,233.737371783669,194.638234357225,451.073298692223,231.693581382207,382.354654416611,181.21912093314,227.442905185552,349.03403761619,230.200182224183,396.529217816459,193.422644676501,258.757719056202,324.235381151168,283.171042454969,235.329854056607
2016-01-01,773,309,206,273,308,236,238,193,245,168,236,189,440,234,381,182,239,353,224,395,194,257,340,285,222
2016-02-01,755.44935478934,311.630535185003,203.407433600793,288.860534094829,322.159686933083,252.270175589346,249.02291310851,192.600899726719,245.936574806884,169.003016125875,236.429726284065,193.54483061333,438.039792830683,230.735520826987,377.56871806449,179.547860485554,249.049688011816,376.253165269591,229.093791499095,388.121245036998,201.979418370211,257.772045369069,332.313224450751,270.229285393557,220.952107796692
2016-03-01,716.504492517152,305.910872206192,207.257564287758,312.993277215831,343.437211485587,274.087356201195,270.164960270076,193.654031448327,238.211626377572,170.505793236142,237.627597408259,204.277465408399,446.328261470554,225.580314362181,377.904384483247,176.500221416731,256.955165797117,406.715824335823,240.602479520098,381.798257644071,213.652824383059,258.330385037479,311.486146553048,249.006174129588,227.962537107519
2016-04-01,693,294,214,330,362,289,284,195,234,172,244,215,465,224,390,177,263,428,251,384,224,255,294,236,236
2016-05-01,709.752885937991,278.882462414656,220.52593324405,328.990556317608,370.123841309935,288.119702477522,278.420347859773,195.87937410628,241.72863333036,172.964420460533,257.722644284679,220.583864865819,491.646610805715,229.261508117329,417.042026522345,183.589631451941,266.993449577337,428.091720448862,254.417143854939,399.308648085464,229.042135919901,245.775267303255,291.950852361018,240.992080562011,239.590182214153
2016-06-01,743.509846565389,266.845022945582,225.492894796157,317.107132972049,368.517974213517,276.810608434755,262.592147595631,197.132578049161,254.832833497869,172.826300156363,272.04853487959,220.177829935105,513.687729499633,235.837013020921,442.990770613362,192.409623029566,266.847542737091,412.47303541089,251.612121917647,418.759233088739,228.966057791264,235.328148201288,299.894106710714,254.211668434086,239.486664179984
2016-07-01,759,265,228,306,360,264,251,200,263,171,278,214,516,236,447,198,260,391,245,430,225,230,308,261,238
2016-08-01,732.613175532771,277.098874415633,227.45179638597,304.288351745851,347.233836716068,256.547310796862,253.740139896844,204.844566811123,259.148891871677,167.213376106069,269.938955836478,203.008598812284,489.744134316829,224.625854111106,416.485398068351,196.612132225202,245.717254419578,372.231804786814,236.645040488555,424.273792250777,218.370556468703,233.682440973468,308.809292031101,251.172762728768,236.798274457808
2016-09-01,687.382047147218,293.44977675222,224.474560231316,308.46707978486,332.268669438123,253.040580430156,263.355338236289,208.519360058732,249.12370629762,162.448265397664,255.585670480789,191.122325962292,451.21711682721,206.99755948006,371.910310841081,191.342767946485,230.580589180446,359.540182168767,227.208292068574,407.201847038011,210.2977592667,240.46813326848,304.344834011502,232.443448430364,234.979695061432
2016-10-01,658,301,220,312,317,250,268,207,242,158,246,183,423,191,342,187,223,355,217,388,202,242,299,217,231
2016-11-01,668.535152671666,291.388706589478,215.111325656513,310.115295958247,303.644515529498,245.172535816511,259.507981441739,197.890506797377,243.97209547923,155.070964004081,248.780791628669,182.048406551714,421.525000075117,182.790630993802,346.423788611659,186.776654462066,228.02642163324,359.758838181662,206.78047196862,374.485071800318,194.883045612693,233.383857691761,295.997164699761,214.131683337731,224.475979213874
2016-12-01,700.554557438331,275.022536712206,211.497753167467,305.098621962585,295.703644330286,241.212255029806,244.430943903657,185.308500234428,249.709378348689,154.49174936409,257.682857271328,186.666199549061,438.628988376714,181.617193503284,368.627245281573,187.404490369678,237.274544985571,371.255124802932,199.110265363612,368.87782320366,191.102164401194,223.577096502569,293.874705391425,221.533056362977,219.66862964836
2017-01-01,725,267,211,301,297,242,233,175,251,157,263,194,460,185,383,184,239,386,197,372,193,225,290,234,222
2017-02-01,721.2832508176,277.346299226456,214.954752839828,301.065279235977,309.225138202977,249.762545937093,233.07978618805,171.260072666037,242.555318803997,162.687953062791,258.197136908104,201.501478684565,474.859569086405,190.841251543315,372.041669707236,173.688657333942,225.806688677092,400.769879523577,202.418256822149,383.341476103507,201.800964784228,245.226572703934,283.424271392075,247.226429846234,234.297808686697
2017-03-01,702.696019395753,295.793409732291,222.682575246966,305.323617549987,325.546382870361,260.110399450619,243.069034297231,172.579972336888,230.779521048365,169.066218627457,249.423641174639,207.842505471094,486.563225962231,198.570703543841,350.691819143738,161.631863167396,207.691601247642,413.402281582468,213.165461291792,397.064637925126,214.256546091486,272.445702943467,279.934122200574,260.498400191802,249.012453011795
2017-04-01,691,307,233,313,337,267,259,176,225,173,246,212,502,208,342,155,199,422,226,406,226,290,287,274,256
2017-05-01,700.220732946821,300.152022430622,244.217811132321,322.69766117192,336.89937610304,266.036539694377,276.617318250504,179.180313649586,231.510333008485,172.029075596608,253.726957035211,213.167900932248,524.295982838523,218.140659129234,360.816939966803,158.690938424388,209.413490325058,425.124606686994,237.361315557597,404.96383860047,233.135317472615,286.117258899912,307.676120102307,286.962597277334,248.44389715045
2017-06-01,713.439142756435,282.544565099371,252.623797696523,330.532833763393,327.666379743825,259.42022124179,290.515141129641,182.26049930691,244.468833754148,166.391524274229,264.326281733819,211.408223011008,541.525515181769,224.803696025056,389.198070736068,168.512501405182,229.959050023863,423.172785904234,242.413074654407,396.715476947687,233.649429010641,268.56601764949,327.351768769242,294.806676203148,232.837113860016
2017-07-01,706,266,254,332,314,251,295,186,255,157,266,207,538,223,401,178,247,417,236,386,226,250,327,292,219
2017-08-01,663.16715072845,259.490055495498,245.692521149405,323.958890891157,299.99217219968,244.054258248361,286.562051921046,190.463117180064,256.255201013913,145.04759640263,251.302442358459,200.493584253108,504.660203263208,210.151667495306,378.986866721846,182.25129267221,250.24305372638,407.509471506226,215.988332799313,376.543910235353,210.39850606605,240.082169474197,295.31569264314,275.886144007395,213.96363974854
2017-09-01,609.880742911839,260.583885425782,231.303715448424,308.730232581625,287.306616672859,239.579085952591,270.42595673976,192.933585991029,249.493292083192,132.849165757109,230.197157816011,193.524602484873,458.964342940322,193.325623467046,341.552934949026,182.614427508173,242.768494953205,395.795463689484,192.330388238731,367.999380210053,194.071663791878,236.512448680795,251.88102494468,255.311932032641,213.602054511106
2017-10-01,581,264,216,290,277,238,254,190,238,123,217,188,425,182,316,182,231,383,178,359,186,234,224,242,211
2017-11-01,599.295849324563,265.591459291088,204.419511677466,271.911219707897,270.3911943575,239.783464349217,243.134474065312,180.263513926454,225.209603676604,117.780538792874,221.581792049473,185.3392435368,420.248389293829,182.808226445098,321.272630182849,182.71129829418,220.206887362015,370.726396176989,181.981649541447,348.749409347007,192.048436040961,228.628137277375,230.320368584392,243.678011878273,201.923766077612
2017-12-01,639.186033744355,265.749522827131,199.087266435708,260.435124798997,269.847894305482,245.559731244144,237.447698577986,170.375527099346,215.150590505678,118.211812697336,236.033235150286,185.011885568017,435.765261205093,191.004921217871,342.886485764125,184.622381154719,211.041044237393,362.423137115609,197.302409427708,338.731446656546,205.619471377405,221.976780219922,254.86487219278,252.093743814434,192.865779206672
2018-01-01,663,266,202,262,278,256,235,169,212,125,248,186,456,199,358,187,203,362,213,331,217,217,273,255,193
2018-02-01,644.797600121444,267.403366599408,213.333135844434,280.211045092071,295.406013333283,270.663736206622,234.344496262151,181.223567854859,217.943421316709,137.533952129578,248.629648702909,187.260552710803,468.864758079994,201.096908205784,350.292982917128,189.162773410329,196.447915344078,371.547906748779,220.45543940527,327.125119043285,219.296638658995,216.108985120005,267.736166352626,244.401808479513,207.896851496569
2018-03-01,605.560307295925,269.158764006435,225.976848438373,307.38112007424,314.338843142252,284.663470552314,236.005471170518,197.823564870845,227.200642190393,149.933213083177,243.077308990252,187.650077465283,476.122760387456,199.173210179989,329.530751624102,190.636788613693,195.215476245371,385.882358218452,220.422937013399,326.741499830431,216.894895142949,219.543393402479,252.659486284199,229.313092709621,228.712606439983
2018-04-01,578,270,231,333,325,292,241,206,232,155,240,186,483,197,312,191,204,398,216,329,217,227,249,223,243
2018-05-01,584.995231671141,268.832111348316,222.766463463317,348.207562886781,320.725493050109,288.302331565036,249.339392737936,197.101473913369,226.831525871373,148.231800836961,244.973687212964,181.766693768137,492.737022830639,197.433770361397,309.333215926416,189.674645101541,224.482932743156,401.970865716785,209.937333578215,332.231595961335,224.172416730467,237.084070390751,270.77200304214,234.085124574047,241.896235343519
