"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,237996,184737,141463,235697,249748,159056,173040,104267,220895,137094,160384,172798,171028,134583,173259,126021,193560,257643,179389,168706,108506,202819,73218,60043,176862
2015-02-01,237996,184737,141463,235697,249748,159056,173040,104267,220895,137094,160384,172798,171028,134583,173259,126021,193560,257643,179389,168706,108506,202819,73218,60043,176862
2015-03-01,237996,184737,141463,235697,249748,159056,173040,104267,220895,137094,160384,172798,171028,134583,173259,126021,193560,257643,179389,168706,108506,202819,73218,60043,176862
2015-04-01,237198,182324,141325,236939,249481,158769,172797,104331,220403,137260,160110,172464,171691,134004,172770,126915,192670,257528,179315,168314,108138,203159,72882,59614,177077
2015-05-01,237198,182324,141325,236939,249481,158769,172797,104331,220403,137260,160110,172464,171691,134004,172770,126915,192670,257528,179315,168314,108138,203159,72882,59614,177077
2015-06-01,237198,182324,141325,236939,249481,158769,172797,104331,220403,137260,160110,172464,171691,134004,172770,126915,192670,257528,179315,168314,108138,203159,72882,59614,177077
2015-07-01,237659,181329,141291,238366,249449,158544,172448,104148,220243,137203,160079,171377,171759,133828,173335,127047,191987,257395,179640,168104,107827,203609,72878,59452,176441
2015-08-01,237659,181329,141291,238366,249449,158544,172448,104148,220243,137203,160079,171377,171759,133828,173335,127047,191987,257395,179640,168104,107827,203609,72878,59452,176441
2015-09-01,237659,181329,141291,238366,249449,158544,172448,104148,220243,137203,160079,171377,171759,133828,173335,127047,191987,257395,179640,168104,107827,203609,72878,59452,176441
2015-10-01,237373,180508,141088,238952,249191,158353,172321,103847,219768,136903,159941,170495,171480,135770,173007,126714,190973,256611,179512,167863,107512,203410,72645,59321,176390
2015-11-01,237373,180508,141088,238952,249191,158353,172321,103847,219768,136903,159941,170495,171480,135770,173007,126714,190973,256611,179512,167863,107512,203410,72645,59321,176390
2015-12-01,237373,180508,141088,238952,249191,158353,172321,103847,219768,136903,159941,170495,171480,135770,173007,126714,190973,256611,179512,167863,107512,203410,72645,59321,176390
2016-01-01,236280,179584,141053,240337,251124,158593,172837,103988,220588,136687,160378,171466,171489,137303,172636,126666,190957,255601,179008,168222,107342,203140,73146,59339,176721
2016-02-01,236280,179584,141053,240337,251124,158593,172837,103988,220588,136687,160378,171466,171489,137303,172636,126666,190957,255601,179008,168222,107342,203140,73146,59339,176721
2016-03-01,236280,179584,141053,240337,251124,158593,172837,103988,220588,136687,160378,171466,171489,137303,172636,126666,190957,255601,179008,168222,107342,203140,73146,59339,176721
2016-04-01,235660,178529,141129,241192,251736,158454,172927,103995,220804,136913,159914,172179,170792,137497,172950,127341,190406,255400,178783,167863,107277,202731,72820,59315,177105
2016-05-01,235660,178529,141129,241192,251736,158454,172927,103995,220804,136913,159914,172179,170792,137497,172950,127341,190406,255400,178783,167863,107277,202731,72820,59315,177105
2016-06-01,235660,178529,141129,241192,251736,158454,172927,103995,220804,136913,159914,172179,170792,137497,172950,127341,190406,255400,178783,167863,107277,202731,72820,59315,177105
2016-07-01,235299,177965,141275,242847,251948,158554,172473,103876,220269,136829,159429,172672,170208,136994,173572,127771,189367,255825,178742,166661,107026,202404,72582,59591,177232
2016-08-01,235299,177965,141275,242847,251948,158554,172473,103876,220269,136829,159429,172672,170208,136994,173572,127771,189367,255825,178742,166661,107026,202404,72582,59591,177232
2016-09-01,235299,177965,141275,242847,251948,158554,172473,103876,220269,136829,159429,172672,170208,136994,173572,127771,189367,255825,178742,166661,107026,202404,72582,59591,177232
2016-10-01,234080,177460,141229,245045,251955,158390,172220,104483,219736,136898,159426,172506,169432,136766,173970,128727,188304,258382,177434,165729,106607,201891,72118,59651,177400
2016-11-01,234080,177460,141229,245045,251955,158390,172220,104483,219736,136898,159426,172506,169432,136766,173970,128727,188304,258382,177434,165729,106607,201891,72118,59651,177400
2016-12-01,234080,177460,141229,245045,251955,158390,172220,104483,219736,136898,159426,172506,169432,136766,173970,128727,188304,258382,177434,165729,106607,201891,72118,59651,177400
2017-01-01,234107,179676,141554,247696,253826,158960,172272,105146,219957,136613,159839,173033,169404,137207,173856,130868,188512,259883,176921,165462,106544,201869,72654,59481,177548
2017-02-01,234107,179676,141554,247696,253826,158960,172272,105146,219957,136613,159839,173033,169404,137207,173856,130868,188512,259883,176921,165462,106544,201869,72654,59481,177548
2017-03-01,234107,179676,141554,247696,253826,158960,172272,105146,219957,136613,159839,173033,169404,137207,173856,130868,188512,259883,176921,165462,106544,201869,72654,59481,177548
2017-04-01,233943,180434,141999,250708,254395,159375,172050,105628,219460,136852,159826,172966,169407,137413,173417,131474,188100,261155,176861,166252,106603,201971,73091,59368,178185
2017-05-01,233943,180434,141999,250708,254395,159375,172050,105628,219460,136852,159826,172966,169407,137413,173417,131474,188100,261155,176861,166252,106603,201971,73091,59368,178185
2017-06-01,233943,180434,141999,250708,254395,159375,172050,105628,219460,136852,159826,172966,169407,137413,173417,131474,188100,261155,176861,166252,106603,201971,73091,59368,178185
2017-07-01,233583,178864,142165,252683,254964,160085,171861,105862,218469,137269,160029,173474,169626,137509,173885,132415,187822,262611,176811,166733,107090,202391,73668,60130,179002
2017-08-01,233583,178864,142165,252683,254964,160085,171861,105862,218469,137269,160029,173474,169626,137509,173885,132415,187822,262611,176811,166733,107090,202391,73668,60130,179002
2017-09-01,233583,178864,142165,252683,254964,160085,171861,105862,218469,137269,160029,173474,169626,137509,173885,132415,187822,262611,176811,166733,107090,202391,73668,60130,179002
