"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,551,231,138,251,227,199,244,154,194,144,218,153,374,159,289,132,179,299,177,302,218,159,230,202,192
2015-02-01,651.652690212162,282.684763414609,221.605850873013,337.685133032783,307.767727229191,237.892342553973,247.500230509852,193.758581063363,215.188654290843,193.232481641771,259.963723770187,196.576396283253,491.525329786413,206.594914671542,350.340523429695,154.862037646559,244.057523414233,375.857234692024,228.259609573989,350.967755236655,225.014898386178,237.217492468269,279.772161223353,209.658933852452,247.171973115352
2015-03-01,704.899603792408,309.265010328189,259.803381737211,375.993775008092,348.496122290919,265.76888576385,253.216279892568,209.857346495462,230.633098735288,211.763345839302,282.704464510927,216.810964184487,550.512984107401,232.74306281969,387.57509133093,174.257099374954,276.366165389541,411.869580371036,251.457140438187,380.091212026779,237.829713200993,279.711319628762,308.315371099897,215.831773358624,272.937405214118
2015-04-01,721,316,263,377,358,284,260,208,241,207,290,219,564,242,405,190,283,416,253,393,254,294,320,221,276
2015-05-01,711.694075983846,308.529509535323,242.689837022344,353.224366756061,346.267779720896,293.862556648727,267.026364788107,194.752159133078,246.833724330076,187.386193148489,285.813546802775,209.096952696636,546.881652002068,239.551685423974,407.416000045159,202.036521617875,271.677790194386,398.517777570907,240.081720668866,393.740984070595,270.962823677358,288.312409672227,319.322118125687,225.930583496943,263.803913120503
2015-06-01,694.645780451458,294.015387423526,214.71391997943,322.973372717745,327.982299016662,296.25943116007,274.762836629275,180.127096860384,248.189436284329,165.511040778254,274.850076634996,195.683881923439,521.486164654748,233.105692926896,401.641659322481,210.83631545021,252.697054420288,374.917481191862,223.040334862338,388.029970291426,285.681286481634,273.7188550226,311.280595005591,232.532446525349,246.755107998334
2015-07-01,689,280,196,306,319,292,284,175,245,155,262,188,512,231,395,217,237,362,213,382,295,262,301,243,236
2015-08-01,706.496931778381,272.123124370027,198.042208445017,314.824807350379,329.309302035372,282.361134554821,293.91282885624,185.936486108028,237.809781722185,164.296819838348,251.226533463157,191.998755893166,533.318432575684,238.420565854786,392.291772685967,220.473357363423,232.305389882298,370.034617987313,217.154248491289,379.697938110594,296.356029126613,261.384720694674,292.976403310937,258.100213641259,238.982744773005
2015-09-01,729.258015142499,268.414180718449,210.600197604328,333.038660046854,345.426533494284,270.489685892165,297.213855071812,202.263895692634,229.609156127397,181.118416973606,242.784117837976,200.490545158795,563.171986903238,247.945276583835,388.228641749515,218.582824009392,233.438209521898,383.16419856522,226.974112705055,376.825943844556,289.556251983581,265.89474176232,289.191878507369,272.890292391829,248.338459088842
2015-10-01,732,265,218,337,348,260,285,209,224,188,236,203,570,249,375,208,232,379,230,367,275,266,291,281,253
2015-11-01,698.799678384112,259.718733725312,209.585773642031,312.031959397977,325.161678804281,254.32253476162,253.914912379527,196.538933471847,223.779000633034,173.64874972034,230.724763789042,193.16728298996,534.066839917419,235.173458564291,349.120612914678,188.107085965469,222.582131757902,345.047454183546,218.264248328942,347.874670894436,254.427874631006,255.593151993521,298.809305667603,278.261154530615,245.635478157847
2015-12-01,651.174010830397,257.253815628605,194.774178492146,279.316431539283,294.978233672868,256.152195641639,222.789150490884,176.780283332045,228.522087354232,151.459735771766,228.90234090199,181.094678182122,482.936998843409,216.705793330355,324.40673664242,169.12868480852,211.735292677303,308.38868751022,201.766918021148,333.258846922944,234.945557435894,242.257733483675,309.24818726123,269.31379131474,233.854018609261
2016-01-01,620,264,188,269,283,268,216,167,237,141,233,181,456,208,319,164,209,306,195,341,225,237,318,261,229
2016-02-01,627.045095425913,282.927866654653,199.022104394267,300.121429131786,305.710649414172,289.459837509811,248.316410514539,178.57444667125,247.148289819751,155.108181280292,243.837374343637,201.702482517364,480.41420775464,218.40411840657,343.707257136804,180.653854330257,220.440157160166,360.368157871095,207.492461896649,380.914489422774,229.784324201216,246.427856516428,321.41600364828,258.225538606653,238.0679351882
2016-03-01,657.638534128507,303.311297507871,218.895681019682,347.288206388606,343.327198480911,308.457087096836,296.073987409097,199.281637645854,253.561753714933,179.709306605998,255.643555591101,230.427038409012,534.413351056457,237.046364909559,379.996263532658,207.01354786764,238.213212361481,436.021792134639,228.921178173318,430.694224019223,241.476333087659,259.555805784462,318.519076151416,258.150838645506,250.65287388152
2016-04-01,688,311,234,374,367,310,326,211,250,194,261,249,584,248,402,226,251,483,244,460,249,261,309,256,252
2016-05-01,699.723643615941,296.940170026448,234.622105077199,355.741583334137,356.88461242792,285.282559643579,315.0046307475,201.237353917226,233.479691939813,183.733339973305,255.03684994752,244.430194347991,603.0541068418,239.839697439059,391.90221038996,225.388607824615,250.731313675508,467.331766183926,241.506644825205,447.948852895949,244.657050786351,241.843570088916,293.860013072611,248.540394746475,232.981669978244
2016-06-01,695.901482285206,272.463957302875,226.680134466163,315.9381503137,329.157416847934,250.241678193241,280.729714687544,180.019092010465,214.045712600852,160.888222989426,243.078992289161,224.456427441088,596.965152486319,219.145784068445,364.089690708431,212.372679276475,242.3377838027,419.005625432703,226.474295211507,411.482775518681,234.260221324582,219.037561896995,279.342174799774,238.712483732865,206.978930309104
2016-07-01,685,254,220,290,309,227,251,163,205,144,233,202,579,197,341,199,234,384,208,377,227,216,273,231,193
2016-08-01,673.504774554767,253.163305091406,221.378364185825,302.652978272406,313.787937911184,230.446960952908,245.998399828793,161.439100622809,215.044053532107,145.958458826486,230.718929569986,187.539703053634,560.147142655938,182.385239985342,338.572790192247,194.310232889803,231.708662211878,395.230703319126,193.25873658031,363.845654548986,229.031917097823,247.04971497976,279.292092209424,228.464734259297,203.560940454382
2016-09-01,659.977758952893,262.314354762112,225.494892226777,335.88511828252,329.672763756983,246.539163093164,255.340487174062,169.012364682656,234.477618103882,157.071134769631,234.336771548552,181.784288863674,542.281594553824,175.88901733518,346.75608474473,195.310549841275,232.69491168698,433.363113541954,181.737196536209,363.15245168383,234.371670502903,290.108761442373,290.297409834673,228.480707904515,225.20918265984
2016-10-01,641,269,224,361,335,254,261,175,249,162,240,183,525,176,349,196,232,466,171,359,234,314,295,227,238
