"Week","gu","pollutant"
2018-01-01,"강남구",36.7142857142857
2018-01-08,"강남구",38.4285714285714
2018-01-15,"강남구",72.5714285714286
2018-01-22,"강남구",25.5714285714286
2018-01-29,"강남구",37.1428571428571
2018-02-05,"강남구",45.7142857142857
2018-02-12,"강남구",43.1666666666667
2018-02-19,"강남구",57.2857142857143
2018-02-26,"강남구",57.1428571428571
2018-03-05,"강남구",32.5714285714286
2018-03-12,"강남구",41.5714285714286
2018-03-19,"강남구",20
2018-04-09,"강남구",40.5714285714286
2018-04-16,"강남구",55.6666666666667
2018-04-23,"강남구",32.7142857142857
2018-04-30,"강남구",39.4285714285714
2018-05-07,"강남구",26.5714285714286
2018-05-14,"강남구",38.6
2018-05-21,"강남구",32.5
2018-05-28,"강남구",42.3333333333333
2018-06-04,"강남구",34.5
2018-06-18,"강남구",43
2018-06-25,"강남구",39.3333333333333
2018-07-02,"강남구",6.2
2018-07-09,"강남구",21.4
2018-07-16,"강남구",31.2857142857143
2018-07-23,"강남구",29.1428571428571
2018-07-30,"강남구",24.4285714285714
2018-08-06,"강남구",17.5714285714286
2018-08-13,"강남구",19
2018-08-20,"강남구",17.7142857142857
2018-08-27,"강남구",13.2857142857143
2018-09-03,"강남구",18.5714285714286
2018-09-10,"강남구",15
2018-09-17,"강남구",22.7142857142857
2018-09-24,"강남구",9.71428571428571
2018-10-01,"강남구",15.5714285714286
2018-10-08,"강남구",19.7142857142857
2018-10-15,"강남구",31.1428571428571
2018-10-22,"강남구",32
2018-10-29,"강남구",28.4285714285714
2018-11-05,"강남구",55.2857142857143
2018-11-12,"강남구",37.4
2018-11-19,"강남구",32.1428571428571
2018-11-26,"강남구",66.4285714285714
2018-12-03,"강남구",26
2018-12-10,"강남구",38.8571428571429
2018-12-17,"강남구",61.5714285714286
2018-12-24,"강남구",30.5714285714286
2018-12-31,"강남구",45.5714285714286
2019-01-07,"강남구",65.1428571428571
2019-01-14,"강남구",84.7142857142857
2019-01-21,"강남구",44.8571428571429
2019-01-28,"강남구",54
2019-02-04,"강남구",54.5714285714286
2019-02-11,"강남구",44.7142857142857
2019-02-18,"강남구",57.7142857142857
2019-02-25,"강남구",86.8571428571429
2019-03-04,"강남구",116.8
2019-03-11,"강남구",49.5
2019-03-18,"강남구",42.1428571428571
2019-03-25,"강남구",50.4285714285714
2019-04-01,"강남구",37.1428571428571
2019-04-08,"강남구",27.4285714285714
2019-04-15,"강남구",34.1428571428571
2019-04-22,"강남구",38.7142857142857
2019-04-29,"강남구",46.1428571428571
2019-05-06,"강남구",41.1428571428571
2019-05-13,"강남구",41.4285714285714
2019-05-20,"강남구",49.1428571428571
2019-05-27,"강남구",24.7142857142857
2019-06-03,"강남구",29.5714285714286
2019-06-10,"강남구",19.4285714285714
2019-06-17,"강남구",18.7142857142857
2019-06-24,"강남구",26.2857142857143
2019-07-01,"강남구",32.4285714285714
2019-07-08,"강남구",18.7142857142857
2019-07-15,"강남구",40
2019-07-22,"강남구",27.5714285714286
2019-07-29,"강남구",21.2857142857143
