"Qtr","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-01-01,110850,80657,68350,76138,98196,83762,83735,75787,83887,79163,78496,88069,106943,97946,95144,80366,79939,95282,88543,78912,94903,74143,146767,189244,66412
2015-02-01,110382.715302837,80022.8272792365,68655.5601598399,77104.9711170485,95726.553372765,82997.0438652141,85865.7106563236,78297.3099497744,82628.6818032347,76531.1432195733,78109.2692784077,86625.3702450352,107355.29347225,97539.9090980261,93550.347740447,78650.7934424422,78864.2014055982,94601.9891237726,89414.7566328982,77885.5368679689,97076.1395375272,74064.024439859,148024.991295,188971.587778757,64362.7859173031
2015-03-01,111306.999253455,80205.0988841748,68771.2885549016,78037.489635567,93664.0471999255,82975.2413960783,86707.6118908915,79822.4210608855,82138.4842723705,74272.1061825363,77200.9482907534,87592.7776524426,107686.676188299,96799.1930486434,94439.6810737803,78395.1885041706,78069.2754796723,94522.433568217,89653.4232995649,77118.8702013022,98650.3617597495,74687.6170324516,148794.015986358,189796.649507152,63819.1933247105
2015-04-01,113218,80985,68779,78935,91983,83530,86598,80528,82259,72392,75951,90315,107943,95855,97109,79230,77528,94875,89428,76614,99730,75797,149187,191428,64429
2015-05-01,115670.836635189,82116.6294317251,68778.9840957401,79800.1715950426,90654.1600165852,84487.5524057131,85908.3176304071,80576.3723059316,82840.8307394647,70912.9958686124,74562.01622323,94065.4323076573,108128.963554481,94860.9210506149,100775.864877033,80751.3360321436,77233.0470400523,95476.0181270457,88922.7019081326,76383.7348496815,100410.471141158,77140.7987730745,149322.870475411,193590.012138285,65815.591372396
2015-06-01,118060.512030005,83245.7404636744,68945.429585888,80648.573566393,89633.1943935896,85645.4326272576,85146.5928307181,80116.4990060821,83766.6148871025,69921.5053271685,73327.1041940034,97835.9385640536,108244.652679977,94060.3191004905,104340.077494513,82416.4778524085,77252.6658560732,96080.4698223084,88382.6048936079,76484.1176784429,100751.526264288,78329.2516156376,149344.559406317,196069.291067674,67504.78347691
2015-07-01,119742,83991,69471,81499,88872,86794,84855,79294,84927,69520,72562,100548,108289,93719,106622,83648,77674,96428,88068,76982,100804,78938,149401,198668,68998
2015-08-01,120270.41963789,84106.5068457149,70455.9849386811,82354.1202805587,88341.3250794129,87759.4872526741,85404.9817850108,78271.2008264991,86172.5878314989,69730.6510837548,72469.2954583021,101475.011635447,108266.704161677,93990.5548476625,106839.192751422,84042.0105771314,78489.7215453036,96334.9383680448,88163.1024012381,77890.190399972,100663.309231173,78715.6693567319,149611.119395947,201110.511816249,69918.6263708905
2015-09-01,120001.471145045,83888.0874092757,71631.1782867314,83152.1049877498,88087.3233738643,88511.6206874837,86485.053823273,77277.249581453,87193.7969199603,70254.4280643453,72799.0053036033,101298.023646899,108205.527906606,94579.71573458,105798.008948169,83888.7519380473,79314.6166515902,95924.3538092162,88547.8237926704,79005.3257515928,100603.199849764,78102.8209494424,149973.820462449,202810.038074005,70377.8949898716
2015-10-01,119491,83767,72635,83815,88175,89056,87613,76558,87641,70712,73188,101050,108139,95079,104702,83652,79669,95396,89026,80070,100942,77713,150458,203102,70609
2015-11-01,119183.929257698,84062.9357780079,73199.2983717578,84276.939875315,88609.6878139113,89410.5726576645,88407.0144888089,76278.0836473312,87322.4846012063,70843.3627593314,73356.2834250431,101527.298928334,108115.367946958,95179.785484661,104483.549302465,83720.2883259973,79246.0667787333,94927.2284007752,89433.5181165448,80860.6146615418,101823.773415632,77980.0052814793,150973.059348208,201648.273930052,70792.7179588569
2015-12-01,119081.492278706,84649.3173066301,73429.635044964,84520.4138900153,89158.0306294716,89642.6772154001,88886.9326169307,76277.2434088469,86678.1974330565,70865.8194524874,73356.3931101019,102579.855737241,108241.754212117,94968.8920352638,104990.368194291,84181.181062069,78430.5342042324,94605.7816074935,89734.4703060811,81288.8015374083,102695.526188508,78618.649771778,151190.418003146,199416.556636308,70900.155082122
2016-01-01,119074,85288,73525,84540,89527,89832,89173,76314,86306,71116,73324,103821,108640,94632,105799,85047,77780,94497,89925,81300,102830,79164,150722,197701,70850
2016-02-01,119051.455923913,85789.8241163276,73665.0437965101,84320.3424404034,89529.7384797569,90032.333227779,89355.2935930868,76200.205324917,86604.621911824,71846.6756566976,73357.9412118957,104891.459317884,109365.675902344,94313.2661766566,106477.980409089,86244.1694522126,77716.0483768002,94598.1109918174,90004.4547622124,80904.7953983053,101774.782291485,79300.0132210547,149352.569137146,197381.985056137,70600.2425344229
2016-03-01,118902.633814206,86161.5692901298,73952.0593111903,83806.3505633001,89404.0726267679,90193.8926731381,89403.215709004,75961.0360424188,87176.2651996657,72975.1830145941,73409.7185522854,105541.553404138,110209.270059741,93990.753161402,106563.814570962,87355.5238136769,78116.209494443,94633.89013118,89984.998686709,80374.356987663,100176.843544354,79306.2095930751,147558.248265709,197684.809454838,70266.0772742329
2016-04-01,118516,86459,74469,82933,89494,90241,89256,75675,87424,74335,73394,105549,110895,93601,105585,87878,78722,94261,89882,80045,98958,79611,145988,197421,70002
2016-05-01,117908.061861466,86716.2862752002,75246.1190347946,81712.7274001086,90107.8767855797,90075.575912701,88910.1444721771,75449.6135715193,86979.1018255719,75762.7123916561,73235.2480236702,104814.86380013,111222.409925149,93125.594253157,103371.751283403,87482.1820133004,79279.9619362882,93286.1054097329,89694.1072790499,80188.055597089,98822.5048258352,80507.0529454131,145056.590029133,195664.637697252,69950.7563478962
2016-06-01,117607.490982987,86881.2203476657,76102.8684510154,80467.8134864139,91411.4936782717,89509.9372772326,88591.2045470531,75508.4272362926,86385.6676942068,77107.3373780251,72897.1030511267,103733.597312874,111292.350734103,92726.3175413504,100961.15129964,86533.242201742,79556.7389291067,92115.8800900085,89353.0905026386,80814.9186600877,99604.358893337,81744.0674114772,144241.996341426,192540.020359155,70208.091376502
2016-07-01,118271,86880,76806,79598,93535,88334,88582,76104,86416,78221,72353,102823,111281,92610,99692,85570,79324,91307,88774,81872,100920,82936,142788,188434,70858
2016-08-01,120259.259593187,86648.8826347234,77181.5911754227,79397.8220332365,96400.4580816278,86547.252010306,89077.4618515383,77351.5996482649,87588.5263414439,78957.1414433446,71623.8074341641,102435.381777892,111348.499211876,92906.0234773819,100447.718161003,85046.0654575487,78499.3631373062,91266.9118136953,87912.5976030695,83278.167398524,102419.050257026,83796.3305528486,140454.47815373,184035.204895594,71899.1024443627
2016-09-01,122748.772624215,86164.3641340223,77293.0224403038,79740.9880836367,99097.5822897749,84987.4693290428,89920.9661027835,78817.3290864847,89406.1751346183,79174.4674733055,70920.1285024669,102261.094381402,111590.845522365,93433.9766731965,102290.209860107,85074.2110830587,77584.2421965376,91806.1450643414,86887.4911545885,84842.1165201344,103883.869030447,84436.6318721273,139065.692294513,181239.368367801,72988.5201827221
2016-10-01,124620,85413,77263,80396,100508,84702,90868,79930,91118,78733,70500,101825,112088,93936,103826,85682,77226,92586,85858,86345,105130,85068,140962,182244,73698
2016-11-01,125092.603469492,84450.9239266471,77258.5162635146,81193.5770595381,99932.9205175385,86364.4901201492,91688.2673809291,80280.3211687542,92147.3854012453,77638.0922053359,70578.3000174512,100827.053532748,112888.259894014,94260.9414669449,104048.079776287,86844.0006009494,77872.4373663387,93347.6917799303,84998.28008645,87649.6081421484,106040.960812727,85832.8470654149,147592.645504094,188313.876053705,73759.6486894677
2016-12-01,124743.048149782,83612.5823755043,77623.7084544362,82213.3082531132,98351.8808663324,89153.777999189,92208.3384492203,80106.5897511019,92615.0391747276,76476.4223583826,71197.2718278944,99667.5807170747,113913.267176437,94684.4794695675,103495.305556229,88322.8023549119,79173.1070995575,94152.0952081815,84541.8337678964,88945.2819260415,106772.164984877,86598.8495444581,156842.419665707,196982.839502974,73547.0130777947
2017-01-01,124487,83302,78747,83597,97164,91875,92269,79809,92816,75980,72356,98922,115053,95589,103093,89828,80578,95140,84737,90503,107547,87165,165705,204852,73594
2017-02-01,125017.511714032,83763.6438809106,80808.269696445,85444.6475063888,97357.785774144,93610.3801016899,91829.098254375,79730.3378989403,93018.7098313529,76646.4156612379,74001.733236772,99005.3300170417,116233.868619476,97217.9143585422,103569.999770884,91145.4136201354,81626.4799899316,96405.98773325,85712.3931622417,92468.6963291787,108516.365751324,87379.540444751,171858.384274337,209389.439037733,74245.3398348035
2017-03-01,126137.182924804,84603.750808405,83153.2178160256,87689.0011261325,98279.3016523031,94550.4927482753,91319.7171373725,79983.7563535522,93385.2237220269,78035.583833905,75874.3767785482,99690.9901577069,117528.011697812,99258.7350781633,104869.197544606,92365.7646824787,82215.4034793062,97859.807436266,87117.7293293816,94488.1261460699,109541.211770786,87287.7106907811,175717.851264882,211531.125472154,75089.0571357288
2017-04-01,127426,85269,84919,90221,98864,95163,91290,80625,94051,79473,77662,100592,119044,101260,106737,93656,82331,99365,88483,96082,110410,86984,178383,213080,75524
2017-05-01,128498.72004475,85348.3524015623,85475.1456914462,92853.8329149068,98349.5660155152,95810.656139758,92094.6729349043,81639.3642725217,95036.5160140838,80403.9858904534,79117.915183609,101442.700473159,120871.56192438,102912.10480259,108893.661880918,95146.1967703608,82042.7908220831,100800.801731514,89458.8880053241,96888.7546892848,110991.798404198,86586.8800444699,180774.372954113,215424.478906472,75116.7327120589
