"Month","gu","search"
2018-01-01,"종로구",-1.01123273626956
2018-01-01,"중구",-1.01123273626956
2018-01-01,"용산구",-1.01123273626956
2018-01-01,"성동구",-1.01123273626956
2018-01-01,"광진구",-1.01123273626956
2018-01-01,"동대문구",-1.01123273626956
2018-01-01,"중랑구",-1.01123273626956
2018-01-01,"성북구",-1.01123273626956
2018-01-01,"강북구",-1.01123273626956
2018-01-01,"도봉구",-1.01123273626956
2018-01-01,"노원구",-1.01123273626956
2018-01-01,"은평구",-1.01123273626956
2018-01-01,"서대문구",-1.01123273626956
2018-01-01,"마포구",-1.01123273626956
2018-01-01,"양천구",-1.01123273626956
2018-01-01,"강서구",-1.01123273626956
2018-01-01,"구로구",-1.01123273626956
2018-01-01,"금천구",-1.01123273626956
2018-01-01,"영등포구",-1.01123273626956
2018-01-01,"동작구",-1.01123273626956
2018-01-01,"관악구",-1.01123273626956
2018-01-01,"서초구",-1.01123273626956
2018-01-01,"강남구",-1.01123273626956
2018-01-01,"강동구",-1.01123273626956
2018-01-01,"송파구",-1.01123273626956
2018-02-01,"종로구",-1.285906237316
2018-02-01,"중구",-1.285906237316
2018-02-01,"용산구",-1.285906237316
2018-02-01,"성동구",-1.285906237316
2018-02-01,"광진구",-1.285906237316
2018-02-01,"동대문구",-1.285906237316
2018-02-01,"중랑구",-1.285906237316
2018-02-01,"성북구",-1.285906237316
2018-02-01,"강북구",-1.285906237316
2018-02-01,"도봉구",-1.285906237316
2018-02-01,"노원구",-1.285906237316
2018-02-01,"은평구",-1.285906237316
2018-02-01,"서대문구",-1.285906237316
2018-02-01,"마포구",-1.285906237316
2018-02-01,"양천구",-1.285906237316
2018-02-01,"강서구",-1.285906237316
2018-02-01,"구로구",-1.285906237316
2018-02-01,"금천구",-1.285906237316
2018-02-01,"영등포구",-1.285906237316
2018-02-01,"동작구",-1.285906237316
2018-02-01,"관악구",-1.285906237316
2018-02-01,"서초구",-1.285906237316
2018-02-01,"강남구",-1.285906237316
2018-02-01,"강동구",-1.285906237316
2018-02-01,"송파구",-1.285906237316
2018-03-01,"종로구",-1.33998229622417
2018-03-01,"중구",-1.33998229622417
2018-03-01,"용산구",-1.33998229622417
2018-03-01,"성동구",-1.33998229622417
2018-03-01,"광진구",-1.33998229622417
2018-03-01,"동대문구",-1.33998229622417
2018-03-01,"중랑구",-1.33998229622417
2018-03-01,"성북구",-1.33998229622417
2018-03-01,"강북구",-1.33998229622417
2018-03-01,"도봉구",-1.33998229622417
2018-03-01,"노원구",-1.33998229622417
2018-03-01,"은평구",-1.33998229622417
2018-03-01,"서대문구",-1.33998229622417
2018-03-01,"마포구",-1.33998229622417
2018-03-01,"양천구",-1.33998229622417
2018-03-01,"강서구",-1.33998229622417
2018-03-01,"구로구",-1.33998229622417
2018-03-01,"금천구",-1.33998229622417
2018-03-01,"영등포구",-1.33998229622417
2018-03-01,"동작구",-1.33998229622417
2018-03-01,"관악구",-1.33998229622417
2018-03-01,"서초구",-1.33998229622417
2018-03-01,"강남구",-1.33998229622417
2018-03-01,"강동구",-1.33998229622417
2018-03-01,"송파구",-1.33998229622417
2018-04-01,"종로구",-1.13630695247946
2018-04-01,"중구",-1.13630695247946
2018-04-01,"용산구",-1.13630695247946
2018-04-01,"성동구",-1.13630695247946
2018-04-01,"광진구",-1.13630695247946
2018-04-01,"동대문구",-1.13630695247946
2018-04-01,"중랑구",-1.13630695247946
2018-04-01,"성북구",-1.13630695247946
2018-04-01,"강북구",-1.13630695247946
2018-04-01,"도봉구",-1.13630695247946
2018-04-01,"노원구",-1.13630695247946
2018-04-01,"은평구",-1.13630695247946
2018-04-01,"서대문구",-1.13630695247946
2018-04-01,"마포구",-1.13630695247946
2018-04-01,"양천구",-1.13630695247946
2018-04-01,"강서구",-1.13630695247946
2018-04-01,"구로구",-1.13630695247946
2018-04-01,"금천구",-1.13630695247946
2018-04-01,"영등포구",-1.13630695247946
2018-04-01,"동작구",-1.13630695247946
2018-04-01,"관악구",-1.13630695247946
2018-04-01,"서초구",-1.13630695247946
2018-04-01,"강남구",-1.13630695247946
2018-04-01,"강동구",-1.13630695247946
2018-04-01,"송파구",-1.13630695247946
2018-05-01,"종로구",-1.40969092227493
2018-05-01,"중구",-1.40969092227493
2018-05-01,"용산구",-1.40969092227493
2018-05-01,"성동구",-1.40969092227493
2018-05-01,"광진구",-1.40969092227493
