광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,01,01,1,"2,170,000",0.022175384,"1,250",0.028561388
서울특별시,종로구,2017,01,02,2,"2,608,200",0.026653381,"1,519",0.034707799
서울특별시,종로구,2017,01,03,3,"2,303,800",0.023542696,"1,361",0.031097639
서울특별시,종로구,2017,01,04,4,"2,387,700",0.024400076,"1,460",0.033359701
서울특별시,종로구,2017,01,05,5,"2,060,400",0.021055374,"1,282",0.02929256
서울특별시,종로구,2017,01,06,6,"2,139,400",0.02186268,"1,349",0.03082345
서울특별시,종로구,2017,01,07,7,"2,163,150",0.022105383,"1,300",0.029703844
서울특별시,종로구,2017,01,08,1,"2,430,300",0.024835408,"1,414",0.032308642
서울특별시,종로구,2017,01,09,2,"2,664,850",0.027232291,"1,557",0.035576065
서울특별시,종로구,2017,01,10,3,"2,040,400",0.020850992,"1,268",0.028972672
서울특별시,종로구,2017,01,11,4,"1,874,500",0.019155649,"1,246",0.028469992
서울특별시,종로구,2017,01,12,5,"2,118,750",0.021651657,"1,290",0.029475352
서울특별시,종로구,2017,01,13,6,"1,837,400",0.018776521,"1,217",0.027807367
서울특별시,종로구,2017,01,14,7,"1,791,700",0.018309509,"1,120",0.025591004
서울특별시,종로구,2017,01,15,1,"2,458,600",0.025124608,"1,333",0.030457864
서울특별시,종로구,2017,01,16,2,"2,605,000",0.02662068,"1,512",0.034547855
서울특별시,종로구,2017,01,17,3,"2,107,550",0.021537203,"1,273",0.029086918
서울특별시,종로구,2017,01,18,4,"2,017,300",0.020614932,"1,327",0.03032077
서울특별시,종로구,2017,01,19,5,"2,002,900",0.020467777,"1,290",0.029475352
서울특별시,종로구,2017,01,20,6,"1,741,600",0.017797534,"1,102",0.02517972
서울특별시,종로구,2017,01,21,7,"1,868,450",0.019093823,"1,149",0.026253628
서울특별시,종로구,2017,01,22,1,"2,556,700",0.026127099,"1,403",0.032057302
서울특별시,종로구,2017,01,23,2,"2,456,800",0.025106214,"1,410",0.032217246
서울특별시,종로구,2017,01,24,3,"2,291,450",0.02341649,"1,312",0.029978033
서울특별시,종로구,2017,01,25,4,"2,458,350",0.025122053,"1,457",0.033291154
서울특별시,종로구,2017,01,26,5,"2,935,300",0.029996039,"1,716",0.039209073
서울특별시,종로구,2017,01,27,6,"3,254,700",0.03326001,"1,827",0.041745325
서울특별시,종로구,2017,01,28,7,"2,148,100",0.021951586,"1,070",0.024448548
서울특별시,종로구,2017,01,29,1,"1,924,200",0.019663536,"1,004",0.022940507
서울특별시,종로구,2017,01,30,2,"2,451,850",0.025055629,"1,325",0.030275071
서울특별시,종로구,2017,01,31,3,"2,580,800",0.026373378,"1,407",0.032148698
서울특별시,종로구,2017,02,01,4,"2,277,100",0.027106166,"1,333",0.033862637
서울특별시,종로구,2017,02,02,5,"2,110,850",0.025127157,"1,283",0.032592471
서울특별시,종로구,2017,02,03,6,"1,989,500",0.02368263,"1,286",0.032668681
서울특별시,종로구,2017,02,04,7,"2,000,200",0.023810001,"1,202",0.030534801
서울특별시,종로구,2017,02,05,1,"2,637,050",0.031390942,"1,456",0.036987247
서울특별시,종로구,2017,02,06,2,"2,468,000",0.029378603,"1,487",0.03777475
서울특별시,종로구,2017,02,07,3,"2,341,450",0.027872176,"1,389",0.035285223
서울특별시,종로구,2017,02,08,4,"2,197,850",0.026162789,"1,349",0.03426909
서울특별시,종로구,2017,02,09,5,"1,960,300",0.023335039,"1,235",0.031373111
서울특별시,종로구,2017,02,10,6,"1,898,100",0.022594622,"1,226",0.031144481
서울특별시,종로구,2017,02,11,7,"1,811,050",0.021558395,"1,092",0.027740435
서울특별시,종로구,2017,02,12,1,"2,548,750",0.030339836,"1,429",0.036301357
서울특별시,종로구,2017,02,13,2,"2,450,000",0.029164335,"1,461",0.037114263
서울특별시,종로구,2017,02,14,3,"2,099,950",0.024997406,"1,304",0.033125941
서울특별시,종로구,2017,02,15,4,"2,122,000",0.025259885,"1,305",0.033151344
서울특별시,종로구,2017,02,16,5,"2,017,600",0.024017127,"1,316",0.033430781
서울특별시,종로구,2017,02,17,6,"2,063,750",0.024566488,"1,242",0.031550934
서울특별시,종로구,2017,02,18,7,"1,844,550",0.021957173,"1,136",0.028858181
서울특별시,종로구,2017,02,19,1,"2,298,250",0.027357931,"1,416",0.035971113
서울특별시,종로구,2017,02,20,2,"2,428,000",0.028902451,"1,398",0.035513853
서울특별시,종로구,2017,02,21,3,"2,264,600",0.026957368,"1,363",0.034624737
서울특별시,종로구,2017,02,22,4,"1,863,000",0.022176798,"1,185",0.030102944
서울특별시,종로구,2017,02,23,5,"2,075,900",0.024711119,"1,322",0.0335832
서울특별시,종로구,2017,02,24,6,"1,865,050",0.022201201,"1,224",0.031093674
