기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.07	합계	합계	4,308,300	1,729,059	908,211	767,799	690,583	163,333	36,256	9,094	2,567	797	601
2019.07	종로구	소계	73,790	36,371	14,024	10,895	9,094	2,526	602	188	55	24	11
2019.07	종로구	사직동	4,546	2,218	898	687	516	161	30	26	6	2	2
2019.07	종로구	삼청동	1,397	744	250	181	147	51	17	6	1	-	-
2019.07	종로구	부암동	4,278	1,629	936	743	696	192	54	19	5	2	2
2019.07	종로구	평창동	7,518	2,428	1,672	1,495	1,384	418	79	26	9	7	-
2019.07	종로구	무악동	3,167	721	700	727	788	178	39	6	4	2	2
2019.07	종로구	교남동	4,577	1,616	1,100	913	749	146	34	10	6	3	-
2019.07	종로구	가회동	2,045	917	440	340	243	71	24	8	1	-	1
2019.07	종로구	종로1.2.3.4가동	5,276	4,192	502	301	206	54	15	5	1	-	-
2019.07	종로구	종로5·6가동	3,177	2,102	506	290	202	57	15	2	2	1	-
2019.07	종로구	이화동	4,488	2,702	787	494	372	100	22	9	1	1	-
2019.07	종로구	창신1동	2,943	1,718	563	337	216	87	17	5	-	-	-
2019.07	종로구	창신2동	4,131	1,909	878	647	497	156	31	9	4	-	-
2019.07	종로구	창신3동	2,888	887	671	636	488	167	33	1	4	1	-
2019.07	종로구	숭인1동	2,979	1,354	648	482	354	102	31	8	-	-	-
2019.07	종로구	숭인2동	5,746	3,744	911	564	397	101	22	5	2	-	-
2019.07	종로구	청운효자동	5,370	1,940	1,126	1,007	954	244	68	22	6	3	-
2019.07	종로구	혜화동	9,264	5,550	1,436	1,051	885	241	71	21	3	2	4
2019.07	중구	소계	62,481	30,704	13,054	9,207	7,129	1,762	445	120	26	13	21
2019.07	중구	소공동	1,114	641	198	150	99	18	5	1	-	-	2
2019.07	중구	회현동	3,195	2,149	442	288	226	67	12	10	1	-	-
2019.07	중구	명동	1,416	942	215	136	84	26	6	3	1	-	3
2019.07	중구	필동	2,313	1,426	420	230	169	52	9	5	1	-	1
2019.07	중구	장충동	2,699	1,685	453	244	222	70	19	2	1	1	2
2019.07	중구	광희동	2,948	1,877	522	286	188	46	23	4	1	-	1
