기간	자치구	동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2020.01	합계	합계	4,334,918	1,761,091	920,864	765,895	678,382	159,958	35,735	9,034	2,572	801	586
2020.01	종로구	계	73,925	36,662	14,191	10,801	8,918	2,491	582	195	50	21	14
2020.01	종로구	사직동	4,628	2,269	904	688	540	164	31	25	3	2	2
2020.01	종로구	삼청동	1,400	743	260	178	149	46	16	6	1	-	1
2020.01	종로구	부암동	4,298	1,627	945	760	696	186	55	20	5	2	2
2020.01	종로구	평창동	7,514	2,412	1,718	1,484	1,353	417	80	31	13	5	1
2020.01	종로구	무악동	3,185	739	705	731	767	190	36	12	1	2	2
2020.01	종로구	교남동	4,595	1,646	1,099	905	745	150	32	12	5	1	-
2020.01	종로구	가회동	2,063	932	442	342	249	64	26	6	1	-	1
2020.01	종로구	종로1.2.3.4가동	5,189	4,115	512	287	199	55	13	6	2	-	-
2020.01	종로구	종로5·6가동	3,386	2,325	507	293	191	54	11	2	2	1	-
2020.01	종로구	이화동	4,435	2,669	799	482	347	104	24	8	1	1	-
2020.01	종로구	창신1동	2,948	1,733	584	320	211	79	16	5	-	-	-
2020.01	종로구	창신2동	4,126	1,925	905	647	456	147	33	10	2	1	-
2020.01	종로구	창신3동	2,900	925	658	648	466	164	32	3	4	-	-
2020.01	종로구	숭인1동	2,964	1,359	645	473	355	101	24	6	-	1	-
2020.01	종로구	숭인2동	5,747	3,789	913	522	399	97	21	4	2	-	-
2020.01	종로구	청운효자동	5,381	1,987	1,150	991	920	242	61	22	4	4	-
2020.01	종로구	혜화동	9,166	5,467	1,445	1,050	875	231	71	17	4	1	5
2020.01	중구	계	62,814	31,115	13,227	9,130	6,997	1,709	456	123	23	15	19
2020.01	중구	소공동	1,114	624	208	156	101	17	5	1	-	-	2
2020.01	중구	회현동	3,142	2,088	448	287	229	65	14	10	1	-	-
2020.01	중구	명동	1,548	1,083	203	140	82	22	9	5	1	-	3
2020.01	중구	필동	2,299	1,431	419	222	160	52	10	3	1	-	1
2020.01	중구	장충동	2,689	1,702	431	245	217	70	18	1	2	1	2
2020.01	중구	광희동	2,968	1,916	522	281	181	46	16	4	1	-	1
2020.01	중구	을지로동	1,336	1,065	154	63	40	11	3	-	-	-	-
2020.01	중구	신당5동	5,304	2,620	1,135	770	582	142	41	10	3	1	-
2020.01	중구	황학동	6,858	3,713	1,489	885	582	146	33	8	-	1	1
2020.01	중구	중림동	5,828	2,490	1,271	1,030	795	174	47	17	4	-	-
2020.01	중구	신당동	4,437	2,754	824	432	327	68	26	4	1	1	-
2020.01	중구	다산동	6,963	3,150	1,621	1,056	875	191	46	16	3	2	3
2020.01	중구	약수동	7,817	2,863	2,038	1,539	1,040	241	74	15	2	2	3
2020.01	중구	청구동	6,363	2,464	1,515	1,153	932	232	53	7	1	5	1
2020.01	중구	동화동	4,148	1,152	949	871	854	232	61	22	3	2	2
2020.01	용산구	계	110,457	52,299	22,771	17,041	13,572	3,555	873	226	68	29	23
2020.01	용산구	후암동	8,596	4,074	1,744	1,397	982	301	69	17	5	3	4
2020.01	용산구	용산2가동	5,442	2,795	1,205	774	501	131	26	7	3	-	-
2020.01	용산구	남영동	5,418	4,174	599	310	240	72	13	6	1	1	2
2020.01	용산구	원효로2동	6,008	2,082	1,295	1,191	1,071	265	75	15	9	3	2
2020.01	용산구	효창동	4,286	1,490	998	816	714	192	61	12	1	2	-
2020.01	용산구	용문동	5,380	1,938	1,292	1,025	840	222	47	10	3	2	1
2020.01	용산구	이촌1동	10,278	2,184	2,278	2,634	2,417	566	136	44	14	4	1
2020.01	용산구	이촌2동	3,848	1,298	1,056	767	535	138	35	12	7	-	-
2020.01	용산구	이태원1동	3,752	2,167	709	442	313	82	31	7	-	-	1
2020.01	용산구	이태원2동	4,887	2,599	1,030	656	433	115	44	7	1	2	-
2020.01	용산구	서빙고동	5,281	1,695	1,118	956	1,082	342	67	20	-	-	1
2020.01	용산구	보광동	7,639	4,044	1,674	1,000	697	176	37	7	2	2	-
2020.01	용산구	청파동	10,761	6,309	1,972	1,189	938	261	66	18	3	1	4
2020.01	용산구	원효로1동	7,886	3,753	1,671	1,241	936	230	41	5	5	2	2
2020.01	용산구	한강로동	9,801	5,546	1,833	1,232	907	197	59	17	7	2	1
2020.01	용산구	한남동	11,194	6,151	2,297	1,411	966	265	66	22	7	5	4
2020.01	성동구	계	135,732	55,547	29,630	24,708	19,844	4,526	1,077	285	77	24	14
2020.01	성동구	왕십리2동	7,592	2,916	1,715	1,425	1,161	265	86	17	2	4	1
2020.01	성동구	마장동	10,859	4,858	2,281	1,761	1,455	372	87	28	10	2	5
2020.01	성동구	사근동	7,359	5,192	954	571	472	132	25	9	4	-	-
2020.01	성동구	행당1동	7,266	3,041	1,531	1,319	1,070	230	49	17	7	1	1
2020.01	성동구	행당2동	9,449	2,362	2,370	2,184	1,981	413	106	23	7	1	2
2020.01	성동구	응봉동	6,159	1,619	1,399	1,432	1,316	300	70	16	5	1	1
2020.01	성동구	금호1가동	6,635	2,127	1,640	1,430	1,113	252	59	12	2	-	-
2020.01	성동구	금호4가동	6,436	2,158	1,573	1,462	973	206	43	17	3	-	1
2020.01	성동구	성수1가1동	7,598	3,103	1,687	1,302	1,194	237	56	10	6	2	1
2020.01	성동구	성수1가2동	6,763	3,078	1,402	1,127	874	222	47	9	3	1	-
2020.01	성동구	성수2가1동	8,486	4,137	1,778	1,295	988	224	53	6	4	1	-
2020.01	성동구	성수2가3동	5,690	2,918	1,082	793	661	175	47	14	-	-	-
2020.01	성동구	송정동	5,513	2,752	1,138	814	617	154	31	5	-	2	-
2020.01	성동구	용답동	6,799	4,015	1,208	769	618	136	37	14	-	1	1
2020.01	성동구	왕십리도선동	11,790	4,413	2,525	2,315	1,969	433	95	29	8	3	-
2020.01	성동구	금호2.3가동	10,311	3,612	2,527	2,144	1,566	337	87	26	8	3	1
2020.01	성동구	옥수동	11,027	3,246	2,820	2,565	1,816	438	99	33	8	2	-
2020.01	광진구	계	164,730	74,450	33,408	26,664	23,362	5,200	1,186	321	92	31	16
2020.01	광진구	화양동	16,221	12,773	1,968	744	583	110	32	10	-	-	1
2020.01	광진구	군자동	10,742	6,030	2,025	1,356	1,019	235	51	18	5	2	1
2020.01	광진구	중곡1동	8,049	3,947	1,843	1,200	811	186	40	14	5	3	-
2020.01	광진구	중곡2동	10,514	4,597	2,396	1,748	1,364	313	72	16	6	2	-
2020.01	광진구	중곡3동	8,468	4,031	1,896	1,317	921	248	45	6	3	1	-
2020.01	광진구	중곡4동	13,232	4,953	3,128	2,538	1,990	468	112	29	10	2	2
2020.01	광진구	능동	6,343	3,578	1,298	733	533	142	45	10	2	2	-
2020.01	광진구	구의1동	11,892	6,456	2,389	1,566	1,110	283	69	16	2	-	1
2020.01	광진구	구의2동	11,635	4,181	2,594	2,269	1,971	466	105	35	8	3	3
2020.01	광진구	구의3동	12,183	4,078	2,542	2,491	2,396	529	104	28	11	3	1
