기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2015.1/4	합계	4,202,812	10,369,067	5,106,034	5,263,033	10,100,987	4,976,047	5,124,940	268,080	129,987	138,093	2.4	1,239,431
2015.1/4	종로구	73,218	165,240	81,256	83,984	156,645	77,431	79,214	8,595	3,825	4,770	2.14	24,712
2015.1/4	중구	60,043	136,063	67,858	68,205	127,843	63,890	63,953	8,220	3,968	4,252	2.13	20,132
2015.1/4	용산구	108,506	250,003	122,096	127,907	235,723	114,406	121,317	14,280	7,690	6,590	2.17	35,359
2015.1/4	성동구	126,021	303,777	151,003	152,774	295,901	147,211	148,690	7,876	3,792	4,084	2.35	37,162
2015.1/4	광진구	159,056	377,204	184,750	192,454	363,136	178,432	184,704	14,068	6,318	7,750	2.28	39,469
2015.1/4	동대문구	160,384	376,329	187,486	188,843	363,767	182,466	181,301	12,562	5,020	7,542	2.27	51,559
2015.1/4	중랑구	176,862	422,825	210,811	212,014	418,250	208,950	209,300	4,575	1,861	2,714	2.36	52,818
2015.1/4	성북구	193,560	475,900	232,809	243,091	466,228	228,825	237,403	9,672	3,984	5,688	2.41	62,695
2015.1/4	강북구	141,463	337,996	166,245	171,751	334,582	164,899	169,683	3,414	1,346	2,068	2.37	51,531
2015.1/4	도봉구	137,094	355,282	174,971	180,311	353,296	174,217	179,079	1,986	754	1,232	2.58	47,100
2015.1/4	노원구	220,895	584,630	285,023	299,607	581,096	283,520	297,576	3,534	1,503	2,031	2.63	67,297
2015.1/4	은평구	202,819	504,165	246,293	257,872	499,616	244,332	255,284	4,549	1,961	2,588	2.46	67,939
2015.1/4	서대문구	134,583	319,938	154,723	165,215	309,243	150,562	158,681	10,695	4,161	6,534	2.3	45,771
2015.1/4	마포구	171,028	398,649	191,897	206,752	388,275	187,415	200,860	10,374	4,482	5,892	2.27	47,884
2015.1/4	양천구	179,389	490,745	243,126	247,619	486,314	241,080	245,234	4,431	2,046	2,385	2.71	49,027
2015.1/4	강서구	235,697	593,703	290,542	303,161	587,234	287,392	299,842	6,469	3,150	3,319	2.49	65,420
2015.1/4	구로구	173,040	457,390	230,061	227,329	425,861	212,975	212,886	31,529	17,086	14,443	2.46	52,157
2015.1/4	금천구	104,267	258,099	132,475	125,624	238,519	121,826	116,693	19,580	10,649	8,931	2.29	30,173
2015.1/4	영등포구	168,706	421,871	212,467	209,404	382,665	191,554	191,111	39,206	20,913	18,293	2.27	50,699
2015.1/4	동작구	172,798	419,460	205,978	213,482	407,613	200,338	207,275	11,847	5,640	6,207	2.36	53,074
2015.1/4	관악구	249,748	533,109	269,144	263,965	514,219	260,071	254,148	18,890	9,073	9,817	2.06	63,576
2015.1/4	서초구	173,259	453,564	218,520	235,044	448,952	216,158	232,794	4,612	2,362	2,250	2.59	48,066
2015.1/4	강남구	237,996	583,699	280,195	303,504	578,361	277,365	300,996	5,338	2,830	2,508	2.43	58,496
2015.1/4	송파구	257,643	672,371	328,531	343,840	665,271	325,100	340,171	7,100	3,431	3,669	2.58	66,322
2015.1/4	강동구	184,737	477,055	237,774	239,281	472,377	235,632	236,745	4,678	2,142	2,536	2.56	50,993
2015.2/4	합계	4,197,478	10,349,492	5,094,448	5,255,044	10,078,850	4,962,774	5,116,076	270,642	131,674	138,968	2.4	1,249,461
2015.2/4	종로구	72,882	164,291	80,814	83,477	155,695	76,962	78,733	8,596	3,852	4,744	2.14	24,746
2015.2/4	중구	59,614	135,200	67,337	67,863	126,817	63,292	63,525	8,383	4,045	4,338	2.13	20,183
2015.2/4	용산구	108,138	249,517	121,891	127,626	235,186	114,119	121,067	14,331	7,772	6,559	2.17	35,464
2015.2/4	성동구	126,915	305,969	152,053	153,916	298,145	148,265	149,880	7,824	3,788	4,036	2.35	37,609
2015.2/4	광진구	158,769	376,620	184,434	192,186	362,197	177,946	184,251	14,423	6,488	7,935	2.28	39,758
2015.2/4	동대문구	160,110	375,254	186,842	188,412	362,604	181,825	180,779	12,650	5,017	7,633	2.26	51,819
