Category: All categories,
,
Week,배달: (South Korea)
2018-01-07,67
2018-01-14,66
2018-01-21,70
2018-01-28,63
2018-02-04,59
2018-02-11,62
2018-02-18,63
2018-02-25,67
2018-03-04,67
2018-03-11,66
2018-03-18,60
2018-03-25,63
2018-04-01,72
2018-04-08,58
2018-04-15,64
2018-04-22,66
2018-04-29,68
2018-05-06,68
2018-05-13,65
2018-05-20,70
2018-05-27,59
2018-06-03,69
2018-06-10,59
2018-06-17,59
2018-06-24,60
2018-07-01,56
2018-07-08,59
2018-07-15,61
2018-07-22,73
2018-07-29,66
2018-08-05,58
2018-08-12,53
2018-08-19,58
2018-08-26,56
2018-09-02,55
2018-09-09,52
2018-09-16,50
2018-09-23,60
2018-09-30,54
2018-10-07,56
2018-10-14,55
2018-10-21,60
2018-10-28,60
2018-11-04,54
2018-11-11,53
2018-11-18,63
2018-11-25,60
2018-12-02,58
2018-12-09,60
2018-12-16,60
2018-12-23,65
2018-12-30,61
2019-01-06,61
2019-01-13,59
2019-01-20,58
2019-01-27,60
2019-02-03,49
2019-02-10,63
2019-02-17,60
2019-02-24,69
2019-03-03,56
2019-03-10,64
2019-03-17,63
2019-03-24,67
2019-03-31,65
2019-04-07,63
2019-04-14,75
2019-04-21,66
2019-04-28,89
2019-05-05,79
2019-05-12,67
2019-05-19,67
2019-05-26,70
2019-06-02,65
2019-06-09,64
2019-06-16,59
2019-06-23,67
2019-06-30,57
2019-07-07,65
2019-07-14,65
2019-07-21,67
2019-07-28,72
2019-08-04,77
2019-08-11,69
2019-08-18,65
2019-08-25,63
2019-09-01,70
2019-09-08,55
2019-09-15,64
2019-09-22,72
2019-09-29,56
2019-10-06,67
2019-10-13,70
2019-10-20,70
2019-10-27,80
2019-11-03,69
2019-11-10,69
2019-11-17,65
2019-11-24,64
2019-12-01,72
2019-12-08,68
2019-12-15,77
2019-12-22,71
2019-12-29,69
2020-01-05,72
2020-01-12,63
2020-01-19,61
2020-01-26,65
2020-02-02,63
2020-02-09,68
2020-02-16,65
2020-02-23,77
2020-03-01,68
2020-03-08,75
2020-03-15,73
2020-03-22,63
2020-03-29,79
2020-04-05,99
2020-04-12,80
2020-04-19,77
2020-04-26,73
2020-05-03,91
2020-05-10,83
2020-05-17,90
2020-05-24,74
2020-05-31,79
2020-06-07,75
2020-06-14,81
2020-06-21,72
2020-06-28,69
2020-07-05,73
2020-07-12,73
2020-07-19,70
2020-07-26,79
2020-08-02,79
2020-08-09,66
2020-08-16,82
2020-08-23,89
2020-08-30,100
